Partition E3F3C27A-3EDC-4880-9F29-722980C24895
	SoftParticlesFadeDistanceMultiplier 1.0
	LightWrapAroundFactor 0.6800000071525574
	BentNormalFactor 1.0
	LightMultiplier 0.0010000000474974513
	BendingFactor 0.0
	CameraBias 2.0
	Shader::SurfaceShaderInstanceDataStruct
		Shader *nullGuid*
		BoolParameters *nullArray*
		VectorParameters *nullArray*
		VectorArrayParameters *nullArray*
		TextureParameters *nullArray*
	EmitterDrawOrder EmitterDrawOrder_Default
	ParticleCullingFactor 0.5
	MinSpawnDistance 0.0
	MaxSpawnDistance 0.0
	MinScreenArea 1.0
	MeshCullingDistance 0.0
	DistanceScaleLength 20.0
	DistanceScaleNearValue 0.0
	DistanceScaleFarValue 1.5
	SpeedNormalizationValue 50.0
	WindSpeedNormalizationValue 50.0
	PerParticleEffectParameters *nullArray*
	CullFadeNearDistance 0.0
	CullFadeNearRange 0.0
	CullFadeFarDistance 0.0
	CullFadeFarRange 0.0
	RepeatParticleSpawning False
	FollowSpawnSource False
	KillParticlesWithEmitter True
	ExclusionVolumeCullEnable False
	Emissive False
	Opaque False
	ForceNiceSorting False
	LocalSpace True
	CameraSpace False
	TransparencySunShadowEnable False
	CastPlanarReflectionEnable False
	ForceFullRes False
	FogFade False
	AcceptGlobalParameter1 False
	AcceptGlobalParameter2 False
	AcceptGlobalParameter3 False
	UseOfCustomParamRandomSpawnValuesEnabled False
	EmitterWindEvaluationEnable False
	EmittableWindEvaluationEnable False
	GroupEmittersWithSameBaseTextureOnly False
PolynomialColorInterpData Instance2
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Color0::Vec3
		x 2.0190000534057617
		y 2.265000104904175
		z 3.0
	Color1::Vec3
		x 2.0190000534057617
		y 2.265000104904175
		z 3.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -1.0200002193450928
		w 0.9691001176834106
PolynomialColorInterpData Instance3
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Color0::Vec3
		x 2.0190000534057617
		y 2.265000104904175
		z 3.0
	Color1::Vec3
		x 2.0190000534057617
		y 2.265000104904175
		z 3.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -1.0200002193450928
		w 0.9691001176834106
PolynomialData Instance4
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 1.0
		w 0.0
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance5
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 1.0
		w 0.0
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance6
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 20.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.0
		w 0.9800000190734863
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance7
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 20.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.0
		w 0.9800000190734863
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance8
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.0
		w 1.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance9
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.0
		w 1.0
	MinClamp 0.0
	MaxClamp 1.0
SpawnColorRandomData Instance10
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance56
		EvaluatorInput EfOne
	Color0::Vec3
		x 1.0
		y 1.0
		z 1.0
	Color1::Vec3
		x 0.3499999940395355
		y 0.3499999940395355
		z 0.3499999940395355
SpawnColorRandomData Instance11
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance57
		EvaluatorInput EfOne
	Color0::Vec3
		x 1.0
		y 1.0
		z 1.0
	Color1::Vec3
		x 0.3499999940395355
		y 0.3499999940395355
		z 0.3499999940395355
SuperSphereEvaluatorData Instance12
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 5.0
		y 3.0
		z 3.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 15.0
	StartZenithAngle 180.0
	EndZenithAngle 31.33099937438965
	InnerRadiusBound 0.0
	StartZenithAngleBound 0.9270887970924377
	EndZenithAngleBound 0.0
	StartAzimuthAngle 180.0
	EndAzimuthAngle -134.53900146484375
SuperSphereEvaluatorData Instance13
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 5.0
		y 3.0
		z 3.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 15.0
	StartZenithAngle 180.0
	EndZenithAngle 31.33099937438965
	InnerRadiusBound 0.0
	StartZenithAngleBound 0.9270887970924377
	EndZenithAngleBound 0.0
	StartAzimuthAngle 180.0
	EndAzimuthAngle -134.53900146484375
UpdateColorData Instance14
	$::ProcessorData
		$::DataContainer
		Pre Instance3
		NextProcessor Instance26
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
UpdateColorData Instance15
	$::ProcessorData
		$::DataContainer
		Pre Instance2
		NextProcessor Instance27
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
RandomEvaluatorData Instance16
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance17
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 0.10000000149011612
	Min -0.10000000149011612
RandomEvaluatorData Instance18
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance19
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.10000000149011612
RandomEvaluatorData Instance20
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance21
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance22
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 0.10000000149011612
	Min -0.10000000149011612
RandomEvaluatorData Instance23
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomXYZEvaluatorData Instance24
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 0.07500000298023224
	MinX 0.07500000298023224
	MaxY 0.0
	MinY 0.0
	MaxZ 1.0
	MinZ 1.0
RandomXYZEvaluatorData Instance25
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 0.07500000298023224
	MinX 0.07500000298023224
	MaxY 0.0
	MinY 0.0
	MaxZ 1.0
	MinZ 1.0
SpawnAnimationData Instance26
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance10
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance27
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance11
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationFrameData Instance28
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance49
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance29
	$::ProcessorData
		$::DataContainer
		Pre Instance23
		NextProcessor Instance48
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnDirectionData Instance30
	$::ProcessorData
		$::DataContainer
		Pre Instance24
		NextProcessor Instance32
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.013000000268220901
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance31
	$::ProcessorData
		$::DataContainer
		Pre Instance25
		NextProcessor Instance33
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.013000000268220901
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnPositionData Instance32
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance54
		EvaluatorInput EfOne
SpawnPositionData Instance33
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance55
		EvaluatorInput EfOne
SpawnRateData Instance34
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance44
		EvaluatorInput EfOne
	SpawnRate 15000.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance35
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance45
		EvaluatorInput EfOne
	SpawnRate 15000.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance36
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance38
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance37
	$::ProcessorData
		$::DataContainer
		Pre Instance22
		NextProcessor Instance39
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationSpeedData Instance38
	$::ProcessorData
		$::DataContainer
		Pre Instance21
		NextProcessor Instance52
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnRotationSpeedData Instance39
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance53
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnSizeData Instance40
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance30
		EvaluatorInput EfOne
	Size 1.5
SpawnSizeData Instance41
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance31
		EvaluatorInput EfOne
	Size 1.5
UpdateAgeData Instance42
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance35
		EvaluatorInput EfOne
	Lifetime 150.0
	RandomLifetimeScale 0.10000000149011612
	MaxFactor 1.0
UpdateAgeData Instance43
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance34
		EvaluatorInput EfOne
	Lifetime 150.0
	RandomLifetimeScale 0.10000000149011612
	MaxFactor 1.0
UpdateAlphaLevelMaxData Instance44
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance46
		EvaluatorInput EfNormTime
	MaxLevel 1.0
UpdateAlphaLevelMaxData Instance45
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance47
		EvaluatorInput EfNormTime
	MaxLevel 1.0
UpdateAlphaLevelMinData Instance46
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance15
		EvaluatorInput EfNormTime
	MinLevel 0.3790000081062317
UpdateAlphaLevelMinData Instance47
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance14
		EvaluatorInput EfNormTime
	MinLevel 0.3790000081062317
UpdateClipScaleData Instance48
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 25855
		member(5) 24063
		member(6) 24191
		member(7) 27135
		member(8) 25855
		member(9) 24063
		member(10) 24191
		member(11) 27135
		member(12) 25855
		member(13) 24063
		member(14) 24191
		member(15) 27135
		member(16) 25855
		member(17) 24063
		member(18) 24191
		member(19) 27135
		member(20) 25855
		member(21) 24063
		member(22) 24191
		member(23) 27135
		member(24) 25855
		member(25) 24063
		member(26) 24191
		member(27) 27135
		member(28) 25855
		member(29) 24063
		member(30) 24191
		member(31) 27135
		member(32) 25855
		member(33) 24063
		member(34) 24191
		member(35) 27135
		member(36) 25855
		member(37) 24063
		member(38) 24191
		member(39) 27135
		member(40) 25855
		member(41) 24063
		member(42) 24191
		member(43) 27135
		member(44) 25855
		member(45) 24063
		member(46) 24191
		member(47) 27135
		member(48) 25855
		member(49) 24063
		member(50) 24191
		member(51) 27135
		member(52) 25855
		member(53) 24063
		member(54) 24191
		member(55) 27135
		member(56) 25855
		member(57) 24063
		member(58) 24191
		member(59) 27135
		member(60) 25855
		member(61) 24063
		member(62) 24191
		member(63) 27135
		member(64) 25855
		member(65) 24063
		member(66) 24191
		member(67) 27135
		member(68) 25855
		member(69) 24063
		member(70) 24191
		member(71) 27135
		member(72) 25855
		member(73) 24063
		member(74) 24191
		member(75) 27135
		member(76) 25855
		member(77) 24063
		member(78) 24191
		member(79) 27135
		member(80) 25855
		member(81) 24063
		member(82) 24191
		member(83) 27135
		member(84) 25855
		member(85) 24063
		member(86) 24191
		member(87) 27135
		member(88) 25855
		member(89) 24063
		member(90) 24191
		member(91) 27135
		member(92) 25855
		member(93) 24063
		member(94) 24191
		member(95) 27135
		member(96) 25855
		member(97) 24063
		member(98) 24191
		member(99) 27135
		member(100) 25855
		member(101) 24063
		member(102) 24191
		member(103) 27135
		member(104) 25855
		member(105) 24063
		member(106) 24191
		member(107) 27135
		member(108) 25855
		member(109) 24063
		member(110) 24191
		member(111) 27135
		member(112) 25855
		member(113) 24063
		member(114) 24191
		member(115) 27135
		member(116) 25855
		member(117) 24063
		member(118) 24191
		member(119) 27135
		member(120) 25855
		member(121) 24063
		member(122) 24191
		member(123) 27135
		member(124) 25855
		member(125) 24063
		member(126) 24191
		member(127) 27135
		member(128) 25855
		member(129) 24063
		member(130) 24191
		member(131) 27135
UpdateClipScaleData Instance49
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 25855
		member(5) 24063
		member(6) 24191
		member(7) 27135
		member(8) 25855
		member(9) 24063
		member(10) 24191
		member(11) 27135
		member(12) 25855
		member(13) 24063
		member(14) 24191
		member(15) 27135
		member(16) 25855
		member(17) 24063
		member(18) 24191
		member(19) 27135
		member(20) 25855
		member(21) 24063
		member(22) 24191
		member(23) 27135
		member(24) 25855
		member(25) 24063
		member(26) 24191
		member(27) 27135
		member(28) 25855
		member(29) 24063
		member(30) 24191
		member(31) 27135
		member(32) 25855
		member(33) 24063
		member(34) 24191
		member(35) 27135
		member(36) 25855
		member(37) 24063
		member(38) 24191
		member(39) 27135
		member(40) 25855
		member(41) 24063
		member(42) 24191
		member(43) 27135
		member(44) 25855
		member(45) 24063
		member(46) 24191
		member(47) 27135
		member(48) 25855
		member(49) 24063
		member(50) 24191
		member(51) 27135
		member(52) 25855
		member(53) 24063
		member(54) 24191
		member(55) 27135
		member(56) 25855
		member(57) 24063
		member(58) 24191
		member(59) 27135
		member(60) 25855
		member(61) 24063
		member(62) 24191
		member(63) 27135
		member(64) 25855
		member(65) 24063
		member(66) 24191
		member(67) 27135
		member(68) 25855
		member(69) 24063
		member(70) 24191
		member(71) 27135
		member(72) 25855
		member(73) 24063
		member(74) 24191
		member(75) 27135
		member(76) 25855
		member(77) 24063
		member(78) 24191
		member(79) 27135
		member(80) 25855
		member(81) 24063
		member(82) 24191
		member(83) 27135
		member(84) 25855
		member(85) 24063
		member(86) 24191
		member(87) 27135
		member(88) 25855
		member(89) 24063
		member(90) 24191
		member(91) 27135
		member(92) 25855
		member(93) 24063
		member(94) 24191
		member(95) 27135
		member(96) 25855
		member(97) 24063
		member(98) 24191
		member(99) 27135
		member(100) 25855
		member(101) 24063
		member(102) 24191
		member(103) 27135
		member(104) 25855
		member(105) 24063
		member(106) 24191
		member(107) 27135
		member(108) 25855
		member(109) 24063
		member(110) 24191
		member(111) 27135
		member(112) 25855
		member(113) 24063
		member(114) 24191
		member(115) 27135
		member(116) 25855
		member(117) 24063
		member(118) 24191
		member(119) 27135
		member(120) 25855
		member(121) 24063
		member(122) 24191
		member(123) 27135
		member(124) 25855
		member(125) 24063
		member(126) 24191
		member(127) 27135
		member(128) 25855
		member(129) 24063
		member(130) 24191
		member(131) 27135
UpdateRotationData Instance50
	$::ProcessorData
		$::DataContainer
		Pre Instance5
		NextProcessor Instance37
		EvaluatorInput EfNormTime
UpdateRotationData Instance51
	$::ProcessorData
		$::DataContainer
		Pre Instance4
		NextProcessor Instance36
		EvaluatorInput EfNormTime
UpdateSizeData Instance52
	$::ProcessorData
		$::DataContainer
		Pre Instance6
		NextProcessor Instance41
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance53
	$::ProcessorData
		$::DataContainer
		Pre Instance7
		NextProcessor Instance40
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance54
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance28
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/EF0FF905-9244-4F87-9985-1A69702E500B
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance55
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance29
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/EF0FF905-9244-4F87-9985-1A69702E500B
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTransparencyData Instance56
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance51
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance57
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance50
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
