ScalableEmitterDocument 174d4ae8-59b6-4f9e-98e6-abc444192dc3
	BendingFactor 0.0
	CameraBias 0.0
	Shader::SurfaceShaderInstanceDataStruct
		Shader *nullGuid*
		BoolParameters *nullArray*
		VectorParameters *nullArray*
		VectorArrayParameters *nullArray*
		TextureParameters *nullArray*
	EmitterDrawOrder EmitterDrawOrder_Default
	ParticleCullingFactor 1.0
	MinSpawnDistance 0.0
	MaxSpawnDistance 0.0
	MinScreenArea 1.0
	MeshCullingDistance 600.0
	DistanceScaleLength 0.0
	DistanceScaleNearValue 1.0
	DistanceScaleFarValue 1.0
	SpeedNormalizationValue 2.0
	WindSpeedNormalizationValue 50.0
	PerParticleEffectParameters *nullArray*
	CullFadeNearDistance 1.0
	CullFadeNearRange 2.0
	CullFadeFarDistance 50.0
	CullFadeFarRange 55.0
	RepeatParticleSpawning False
	FollowSpawnSource False
	KillParticlesWithEmitter False
	ExclusionVolumeCullEnable False
	Emissive False
	Opaque True
	ForceNiceSorting False
	LocalSpace True
	CameraSpace False
	TransparencySunShadowEnable False
	CastPlanarReflectionEnable False
	ForceFullRes False
	FogFade True
	AcceptGlobalParameter1 False
	AcceptGlobalParameter2 False
	AcceptGlobalParameter3 False
	UseOfCustomParamRandomSpawnValuesEnabled False
	EmitterWindEvaluationEnable False
	EmittableWindEvaluationEnable False
	GroupEmittersWithSameBaseTextureOnly False
LocalForceData Instance4
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance102
		EvaluatorInput EfNormTime
	PerParticleRandomness 0.0
	EmitterLocalSpaceForce False
	LocalForce::Vec3
		x 0.0
		y 0.0
		z 0.0
LocalForceData Instance5
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance103
		EvaluatorInput EfNormTime
	PerParticleRandomness 0.0
	EmitterLocalSpaceForce False
	LocalForce::Vec3
		x 0.0
		y 0.0
		z 0.0
LocalForceData Instance6
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance100
		EvaluatorInput EfNormTime
	PerParticleRandomness 0.0
	EmitterLocalSpaceForce False
	LocalForce::Vec3
		x 0.0
		y 0.0
		z 0.0
LocalForceData Instance7
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance101
		EvaluatorInput EfNormTime
	PerParticleRandomness 0.0
	EmitterLocalSpaceForce False
	LocalForce::Vec3
		x 0.0
		y 0.0
		z 0.0
PolynomialData Instance8
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -0.7093595266342163
		w 0.997906506061554
	MinClamp 0.6499999761581421
	MaxClamp 1.0
PolynomialData Instance9
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -9.761924743652344
		w 9.698114395141602
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance10
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x -6.816122531890869
		y 11.90013599395752
		z -5.645590305328369
		w 1.0002731084823608
	MinClamp 0.25
	MaxClamp 1.0
PolynomialData Instance11
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 5.361108303070068
		w 0.015000104904174805
	MinClamp -1.0
	MaxClamp 0.5
PolynomialData Instance12
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -9.761924743652344
		w 9.698114395141602
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance13
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x -6.816122531890869
		y 11.90013599395752
		z -5.645590305328369
		w 1.0002731084823608
	MinClamp 0.25
	MaxClamp 1.0
PolynomialData Instance14
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 2.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -19.699970245361328
		w 0.6945006847381592
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance15
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -9.761924743652344
		w 9.698114395141602
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance16
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -9.761924743652344
		w 9.698114395141602
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance17
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -0.7093595266342163
		w 0.997906506061554
	MinClamp 0.6499999761581421
	MaxClamp 1.0
PolynomialData Instance18
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 5.361108303070068
		w 0.015000104904174805
	MinClamp -1.0
	MaxClamp 0.5
PolynomialData Instance19
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 2.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -19.699970245361328
		w 0.6945006847381592
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance20
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -9.761924743652344
		w 9.698114395141602
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance21
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -0.7093595266342163
		w 0.997906506061554
	MinClamp 0.6499999761581421
	MaxClamp 1.0
PolynomialData Instance22
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -9.761924743652344
		w 9.698114395141602
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance23
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x -6.816122531890869
		y 11.90013599395752
		z -5.645590305328369
		w 1.0002731084823608
	MinClamp 0.25
	MaxClamp 1.0
PolynomialData Instance24
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 5.361108303070068
		w 0.015000104904174805
	MinClamp -1.0
	MaxClamp 0.5
PolynomialData Instance25
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -9.761924743652344
		w 9.698114395141602
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance26
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -0.7093595266342163
		w 0.997906506061554
	MinClamp 0.6499999761581421
	MaxClamp 1.0
PolynomialData Instance27
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 5.361108303070068
		w 0.015000104904174805
	MinClamp -1.0
	MaxClamp 0.5
PolynomialData Instance28
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x -6.816122531890869
		y 11.90013599395752
		z -5.645590305328369
		w 1.0002731084823608
	MinClamp 0.25
	MaxClamp 1.0
PolynomialData Instance29
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 2.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -19.699970245361328
		w 0.6945006847381592
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance30
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -9.761924743652344
		w 9.698114395141602
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance31
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 2.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -19.699970245361328
		w 0.6945006847381592
	MinClamp 0.10000000149011612
	MaxClamp 1.0
SplineData Instance32
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.0699436292052269
			z 0.14411558210849762
			w 0.21617336571216583
		XValues1::Vec4
			x 0.28400281071662903
			y 0.3264622986316681
			z 0.4386892020702362
			w 0.5051092505455017
		XValues2::Vec4
			x 0.558844268321991
			y 0.6760042309761047
			z 0.764975368976593
			w 0.8898872137069702
		YValues0::Vec4
			x 1.2435334920883179
			y -0.719591498374939
			z 2.0
			w -0.9301631450653076
		YValues1::Vec4
			x 2.0
			y -0.6564531326293945
			z 1.5224831104278564
			w 1.794070839881897
		YValues2::Vec4
			x 2.0
			y 0.9102665781974792
			z -0.7692664265632629
			w 1.5672502517700195
		YValues3::Vec4
			x -1.0
			y 2.0
			z 0.0
			w 2.0
		GValues0::Vec4
			x 0.0
			y -0.15530890226364136
			z -0.1508820354938507
			w 0.0
		GValues1::Vec4
			x -0.14645519852638245
			y -0.15530890226364136
			z 0.0
			w 1.1490912437438965
		GValues2::Vec4
			x 0.7193015813827515
			y 1.9012237787246704
			z 0.0
			w -0.5557942986488342
		GValues3::Vec4
			x 0.7193015813827515
			y 0.0
			z -0.6869986653327942
			w -0.5557942986488342
		GValues4::Vec4
			x -1.2118139266967773
			y 0.0
			z 1.520816683769226
			w 1.3406363725662231
		GValues5::Vec4
			x 0.0
			y 1.0832343101501465
			z 1.520816683769226
			w 0.0
		SplineType SplineType_13ControlPoints
SplineData Instance33
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.16726617515087128
			z 0.6366906762123108
			w 0.6636691093444824
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.25
			y 1.0
			z 0.25
			w 0.7063270807266235
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.25
			y 1.0
			z 0.0
			w 0.25
		GValues0::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance34
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.16726617515087128
			z 0.6366906762123108
			w 0.6636691093444824
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.25
			y 1.0
			z 0.25
			w 0.7063270807266235
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.25
			y 1.0
			z 0.0
			w 0.25
		GValues0::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance35
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.0699436292052269
			z 0.14411558210849762
			w 0.21617336571216583
		XValues1::Vec4
			x 0.28400281071662903
			y 0.3264622986316681
			z 0.4386892020702362
			w 0.5051092505455017
		XValues2::Vec4
			x 0.558844268321991
			y 0.6760042309761047
			z 0.764975368976593
			w 0.8898872137069702
		YValues0::Vec4
			x 1.2435334920883179
			y -0.719591498374939
			z 2.0
			w -0.9301631450653076
		YValues1::Vec4
			x 2.0
			y -0.6564531326293945
			z 1.5224831104278564
			w 1.794070839881897
		YValues2::Vec4
			x 2.0
			y 0.9102665781974792
			z -0.7692664265632629
			w 1.5672502517700195
		YValues3::Vec4
			x -1.0
			y 2.0
			z 0.0
			w 2.0
		GValues0::Vec4
			x 0.0
			y -0.15530890226364136
			z -0.1508820354938507
			w 0.0
		GValues1::Vec4
			x -0.14645519852638245
			y -0.15530890226364136
			z 0.0
			w 1.1490912437438965
		GValues2::Vec4
			x 0.7193015813827515
			y 1.9012237787246704
			z 0.0
			w -0.5557942986488342
		GValues3::Vec4
			x 0.7193015813827515
			y 0.0
			z -0.6869986653327942
			w -0.5557942986488342
		GValues4::Vec4
			x -1.2118139266967773
			y 0.0
			z 1.520816683769226
			w 1.3406363725662231
		GValues5::Vec4
			x 0.0
			y 1.0832343101501465
			z 1.520816683769226
			w 0.0
		SplineType SplineType_13ControlPoints
SplineData Instance36
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.16726617515087128
			z 0.6366906762123108
			w 0.6636691093444824
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.25
			y 1.0
			z 0.25
			w 0.7063270807266235
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.25
			y 1.0
			z 0.0
			w 0.25
		GValues0::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance37
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.16726617515087128
			z 0.6366906762123108
			w 0.6636691093444824
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.25
			y 1.0
			z 0.25
			w 0.7063270807266235
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.25
			y 1.0
			z 0.0
			w 0.25
		GValues0::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance38
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.0699436292052269
			z 0.14411558210849762
			w 0.21617336571216583
		XValues1::Vec4
			x 0.28400281071662903
			y 0.3264622986316681
			z 0.4386892020702362
			w 0.5051092505455017
		XValues2::Vec4
			x 0.558844268321991
			y 0.6760042309761047
			z 0.764975368976593
			w 0.8898872137069702
		YValues0::Vec4
			x 1.2435334920883179
			y -0.719591498374939
			z 2.0
			w -0.9301631450653076
		YValues1::Vec4
			x 2.0
			y -0.6564531326293945
			z 1.5224831104278564
			w 1.794070839881897
		YValues2::Vec4
			x 2.0
			y 0.9102665781974792
			z -0.7692664265632629
			w 1.5672502517700195
		YValues3::Vec4
			x -1.0
			y 2.0
			z 0.0
			w 2.0
		GValues0::Vec4
			x 0.0
			y -0.15530890226364136
			z -0.1508820354938507
			w 0.0
		GValues1::Vec4
			x -0.14645519852638245
			y -0.15530890226364136
			z 0.0
			w 1.1490912437438965
		GValues2::Vec4
			x 0.7193015813827515
			y 1.9012237787246704
			z 0.0
			w -0.5557942986488342
		GValues3::Vec4
			x 0.7193015813827515
			y 0.0
			z -0.6869986653327942
			w -0.5557942986488342
		GValues4::Vec4
			x -1.2118139266967773
			y 0.0
			z 1.520816683769226
			w 1.3406363725662231
		GValues5::Vec4
			x 0.0
			y 1.0832343101501465
			z 1.520816683769226
			w 0.0
		SplineType SplineType_13ControlPoints
SplineData Instance39
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.0699436292052269
			z 0.14411558210849762
			w 0.21617336571216583
		XValues1::Vec4
			x 0.28400281071662903
			y 0.3264622986316681
			z 0.4386892020702362
			w 0.5051092505455017
		XValues2::Vec4
			x 0.558844268321991
			y 0.6760042309761047
			z 0.764975368976593
			w 0.8898872137069702
		YValues0::Vec4
			x 1.2435334920883179
			y -0.719591498374939
			z 2.0
			w -0.9301631450653076
		YValues1::Vec4
			x 2.0
			y -0.6564531326293945
			z 1.5224831104278564
			w 1.794070839881897
		YValues2::Vec4
			x 2.0
			y 0.9102665781974792
			z -0.7692664265632629
			w 1.5672502517700195
		YValues3::Vec4
			x -1.0
			y 2.0
			z 0.0
			w 2.0
		GValues0::Vec4
			x 0.0
			y -0.15530890226364136
			z -0.1508820354938507
			w 0.0
		GValues1::Vec4
			x -0.14645519852638245
			y -0.15530890226364136
			z 0.0
			w 1.1490912437438965
		GValues2::Vec4
			x 0.7193015813827515
			y 1.9012237787246704
			z 0.0
			w -0.5557942986488342
		GValues3::Vec4
			x 0.7193015813827515
			y 0.0
			z -0.6869986653327942
			w -0.5557942986488342
		GValues4::Vec4
			x -1.2118139266967773
			y 0.0
			z 1.520816683769226
			w 1.3406363725662231
		GValues5::Vec4
			x 0.0
			y 1.0832343101501465
			z 1.520816683769226
			w 0.0
		SplineType SplineType_13ControlPoints
SuperSphereEvaluatorData Instance40
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 0.3499999940395355
		y 1.0
		z 0.3499999940395355
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 1.0
	StartZenithAngle 34.637001037597656
	EndZenithAngle 137.9810028076172
	InnerRadiusBound 0.0
	StartZenithAngleBound 0.9113847613334656
	EndZenithAngleBound 0.12853853404521942
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance41
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 0.3499999940395355
		y 1.0
		z 0.3499999940395355
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 1.0
	StartZenithAngle 34.637001037597656
	EndZenithAngle 137.9810028076172
	InnerRadiusBound 0.0
	StartZenithAngleBound 0.9113847613334656
	EndZenithAngleBound 0.12853853404521942
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance42
