ScalableEmitterDocument d6a913f1-542a-482c-9122-ccde76ddeeef
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -16.359243392944336
		w 2.035067558288574
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance13
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.3097890615463257
		w 0.08276957273483276
	MinClamp 0.05000000074505806
	MaxClamp 0.9900000095367432
PolynomialData Instance14
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.42259466648101807
		w 0.49288690090179443
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance15
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -0.8009951710700989
		w 1.00898015499115
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance16
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -16.359243392944336
		w 2.035067558288574
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance17
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 2.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.8207578063011169
		w 0.21089603006839752
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance18
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.3097890615463257
		w 0.08276957273483276
	MinClamp 0.05000000074505806
	MaxClamp 0.9900000095367432
PolynomialData Instance19
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 2.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.8207578063011169
		w 0.21089603006839752
	MinClamp 0.0
	MaxClamp 1.0
UpdateColorData Instance20
	$::ProcessorData
		$::DataContainer
		Pre Instance4
		NextProcessor Instance68
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
UpdateColorData Instance21
	$::ProcessorData
		$::DataContainer
		Pre Instance5
		NextProcessor Instance69
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
AirResistanceData Instance22
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance25
		EvaluatorInput EfNormTime
	DragFactor 0.0
AirResistanceData Instance23
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance24
		EvaluatorInput EfNormTime
	DragFactor 0.0
GravityData Instance24
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance56
		EvaluatorInput EfNormTime
	Gravity 0.0
	PerParticleRandomness 0.0
GravityData Instance25
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance57
		EvaluatorInput EfNormTime
	Gravity 0.0
	PerParticleRandomness 0.0
RandomEvaluatorData Instance26
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance27
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance28
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance29
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomXYZEvaluatorData Instance30
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 1.0
	MinX -1.0
	MaxY 1.0
	MinY -1.0
	MaxZ 1.0
	MinZ -1.0
RandomXYZEvaluatorData Instance31
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 1.0
	MinX -1.0
	MaxY 1.0
	MinY -1.0
	MaxZ 1.0
	MinZ -1.0
RotateVectorData Instance32
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Angle 90.0
	InputAffectsPhi True
	RotateWithinPlane False
RotateVectorData Instance33
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Angle 90.0
	InputAffectsPhi True
	RotateWithinPlane False
SpawnAnimationData Instance34
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance66
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance35
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance67
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationFrameData Instance36
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance34
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance37
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance35
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnDirectionData Instance38
	$::ProcessorData
		$::DataContainer
		Pre Instance31
		NextProcessor Instance41
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance39
	$::ProcessorData
		$::DataContainer
		Pre Instance30
		NextProcessor Instance40
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnPositionData Instance40
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance51
		EvaluatorInput EfOne
SpawnPositionData Instance41
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance50
		EvaluatorInput EfOne
SpawnRateData Instance42
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance38
		EvaluatorInput EfEmitterNormTime
	SpawnRate 1.0
	DistributeOverTime True
	DistributeOverDistance True
SpawnRateData Instance43
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance39
		EvaluatorInput EfEmitterNormTime
	SpawnRate 2.0
	DistributeOverTime True
	DistributeOverDistance True
SpawnRotationData Instance44
	$::ProcessorData
		$::DataContainer
		Pre Instance33
		NextProcessor Instance47
		EvaluatorInput EfOne
	Rotation 0.10000000149011612
SpawnRotationData Instance45
	$::ProcessorData
		$::DataContainer
		Pre Instance32
		NextProcessor Instance46
		EvaluatorInput EfOne
	Rotation 0.10000000149011612
SpawnRotationSpeedData Instance46
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance65
		EvaluatorInput EfOne
	RotationSpeed 0.0
SpawnRotationSpeedData Instance47
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance64
		EvaluatorInput EfOne
	RotationSpeed 0.0
SpawnSizeData Instance48
	$::ProcessorData
		$::DataContainer
		Pre Instance15
		NextProcessor Instance22
		EvaluatorInput EfEmitterNormTime
	Size 3.0
SpawnSizeData Instance49
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance23
		EvaluatorInput EfEmitterNormTime
	Size 3.0
SpawnSpeedData Instance50
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance63
		EvaluatorInput EfOne
	Speed 0.10000000149011612
SpawnSpeedData Instance51
	$::ProcessorData
		$::DataContainer
		Pre Instance29
		NextProcessor Instance62
		EvaluatorInput EfOne
	Speed 0.10000000149011612
UpdateAgeData Instance52
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance42
		EvaluatorInput EfOne
	Lifetime 5.0
	RandomLifetimeScale 0.0
	MaxFactor 1.0
UpdateAgeData Instance53
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance43
		EvaluatorInput EfOne
	Lifetime 5.0
	RandomLifetimeScale 0.0
	MaxFactor 1.0
UpdateAlphaLevelMinData Instance54
	$::ProcessorData
		$::DataContainer
		Pre Instance6
		NextProcessor Instance21
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance55
	$::ProcessorData
		$::DataContainer
		Pre Instance7
		NextProcessor Instance20
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelScaleData Instance56
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance54
		EvaluatorInput EfNormTime
	Exponent 8.611000061035156
UpdateAlphaLevelScaleData Instance57
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance55
		EvaluatorInput EfNormTime
	Exponent 8.611000061035156
UpdateLinearVelocityData Instance58
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance59
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance60
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance59
		EvaluatorInput EfNormTime
UpdateOrientationData Instance61
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance58
		EvaluatorInput EfNormTime
UpdateRotationData Instance62
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance44
		EvaluatorInput EfNormTime
UpdateRotationData Instance63
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance45
		EvaluatorInput EfNormTime
UpdateSizeData Instance64
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance48
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance65
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance49
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance66
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance2
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/ef0ff905-9244-4f87-9985-1a69702e500b
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance67
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance3
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/ef0ff905-9244-4f87-9985-1a69702e500b
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTransparencyData Instance68
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance36
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance69
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance37
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
