Partition AABB9C6D-D4CA-4E33-82BE-E9B778C97817
		NextProcessor Instance52
		EvaluatorInput EfEmitterNormTime
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnPositionData Instance42
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance56
		EvaluatorInput EfOne
SpawnPositionData Instance43
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance57
		EvaluatorInput EfOne
SpawnRateData Instance44
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance41
		EvaluatorInput EfOne
	SpawnRate 1.2000000476837158
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance45
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance40
		EvaluatorInput EfOne
	SpawnRate 1.2000000476837158
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance46
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance49
		EvaluatorInput EfNormTime
	Rotation 1.0
SpawnRotationData Instance47
	$::ProcessorData
		$::DataContainer
		Pre Instance33
		NextProcessor Instance48
		EvaluatorInput EfNormTime
	Rotation 1.0
SpawnRotationSpeedData Instance48
	$::ProcessorData
		$::DataContainer
		Pre Instance25
		NextProcessor Instance68
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnRotationSpeedData Instance49
	$::ProcessorData
		$::DataContainer
		Pre Instance30
		NextProcessor Instance69
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnSizeData Instance50
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance21
		EvaluatorInput EfOne
	Size 40.0
SpawnSizeData Instance51
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance20
		EvaluatorInput EfOne
	Size 40.0
SpawnSpeedData Instance52
	$::ProcessorData
		$::DataContainer
		Pre Instance31
		NextProcessor Instance66
		EvaluatorInput EfOne
	Speed 2.0
SpawnSpeedData Instance53
	$::ProcessorData
		$::DataContainer
		Pre Instance32
		NextProcessor Instance67
		EvaluatorInput EfOne
	Speed 2.0
UpdateAgeData Instance54
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance45
		EvaluatorInput EfOne
	Lifetime 10.0
	RandomLifetimeScale 0.15299999713897705
	MaxFactor 1.0
UpdateAgeData Instance55
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance44
		EvaluatorInput EfOne
	Lifetime 15.0
	RandomLifetimeScale 0.15299999713897705
	MaxFactor 1.0
UpdateAlphaLevelMinData Instance56
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance64
		EvaluatorInput EfNormTime
	MinLevel 0.37400001287460327
UpdateAlphaLevelMinData Instance57
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance65
		EvaluatorInput EfNormTime
	MinLevel 0.37400001287460327
UpdateAlphaLevelScaleData Instance58
	$::ProcessorData
		$::DataContainer
		Pre Instance7
		NextProcessor Instance19
		EvaluatorInput EfNormTime
	Exponent 1.100000023841858
UpdateAlphaLevelScaleData Instance59
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance18
		EvaluatorInput EfNormTime
	Exponent 1.100000023841858
UpdateClipScaleData Instance60
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance63
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 26495
		member(1) 24191
		member(2) 24191
		member(3) 27135
		member(4) 27007
		member(5) 24319
		member(6) 24447
		member(7) 27263
		member(8) 27135
		member(9) 24447
		member(10) 24447
		member(11) 27263
		member(12) 27135
		member(13) 24575
		member(14) 24575
		member(15) 27391
		member(16) 27135
		member(17) 24703
		member(18) 25215
		member(19) 27391
		member(20) 27519
		member(21) 24831
		member(22) 25215
		member(23) 27519
		member(24) 27903
		member(25) 24959
		member(26) 25471
		member(27) 27647
		member(28) 28159
		member(29) 25087
		member(30) 25727
		member(31) 27775
		member(32) 28543
		member(33) 25215
		member(34) 25727
		member(35) 27775
		member(36) 28671
		member(37) 25343
		member(38) 26367
		member(39) 28031
		member(40) 28927
		member(41) 25471
		member(42) 26623
		member(43) 28159
		member(44) 28927
		member(45) 25599
		member(46) 27007
		member(47) 28159
		member(48) 29055
		member(49) 26367
		member(50) 27391
		member(51) 28287
		member(52) 29183
		member(53) 26623
		member(54) 28415
		member(55) 28415
		member(56) 29183
		member(57) 26879
		member(58) 28543
		member(59) 28799
		member(60) 29311
		member(61) 27263
		member(62) 28799
		member(63) 29055
		member(64) 29439
		member(65) 27775
		member(66) 29311
		member(67) 29311
		member(68) 29567
		member(69) 28159
		member(70) 29695
		member(71) 29439
		member(72) 29695
		member(73) 28671
		member(74) 29823
		member(75) 29567
		member(76) 29823
		member(77) 29311
		member(78) 30207
		member(79) 29695
		member(80) 29951
		member(81) 29823
		member(82) 30463
		member(83) 29823
		member(84) 30079
		member(85) 30207
		member(86) 30719
		member(87) 30207
		member(88) 30207
		member(89) 30975
		member(90) 30975
		member(91) 30719
		member(92) 30975
		member(93) 32639
		member(94) 31487
		member(95) 31231
		member(96) 30975
		member(97) 32639
		member(98) 31487
		member(99) 31231
		member(100) 30975
		member(101) 32639
		member(102) 31487
		member(103) 31231
		member(104) 30975
		member(105) 32639
		member(106) 31487
		member(107) 31231
		member(108) 30975
		member(109) 32639
		member(110) 31487
		member(111) 31231
		member(112) 30975
		member(113) 32639
		member(114) 31487
		member(115) 31231
		member(116) 30975
		member(117) 32639
		member(118) 31487
		member(119) 31231
		member(120) 30975
		member(121) 32639
		member(122) 31487
		member(123) 31231
		member(124) 30975
		member(125) 32639
		member(126) 31487
		member(127) 31231
		member(128) 30975
		member(129) 32639
		member(130) 31487
		member(131) 31231
UpdateClipScaleData Instance61
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance62
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 26495
		member(1) 24191
		member(2) 24191
		member(3) 27135
		member(4) 27007
		member(5) 24319
		member(6) 24447
		member(7) 27263
		member(8) 27135
		member(9) 24447
		member(10) 24447
		member(11) 27263
		member(12) 27135
		member(13) 24575
		member(14) 24575
		member(15) 27391
		member(16) 27135
		member(17) 24703
		member(18) 25215
		member(19) 27391
		member(20) 27519
		member(21) 24831
		member(22) 25215
		member(23) 27519
		member(24) 27903
		member(25) 24959
		member(26) 25471
		member(27) 27647
		member(28) 28159
		member(29) 25087
		member(30) 25727
		member(31) 27775
		member(32) 28543
		member(33) 25215
		member(34) 25727
		member(35) 27775
		member(36) 28671
		member(37) 25343
		member(38) 26367
		member(39) 28031
		member(40) 28927
		member(41) 25471
		member(42) 26623
		member(43) 28159
		member(44) 28927
		member(45) 25599
		member(46) 27007
		member(47) 28159
		member(48) 29055
		member(49) 26367
		member(50) 27391
		member(51) 28287
		member(52) 29183
		member(53) 26623
		member(54) 28415
		member(55) 28415
		member(56) 29183
		member(57) 26879
		member(58) 28543
		member(59) 28799
		member(60) 29311
		member(61) 27263
		member(62) 28799
		member(63) 29055
		member(64) 29439
		member(65) 27775
		member(66) 29311
		member(67) 29311
		member(68) 29567
		member(69) 28159
		member(70) 29695
		member(71) 29439
		member(72) 29695
		member(73) 28671
		member(74) 29823
		member(75) 29567
		member(76) 29823
		member(77) 29311
		member(78) 30207
		member(79) 29695
		member(80) 29951
		member(81) 29823
		member(82) 30463
		member(83) 29823
		member(84) 30079
		member(85) 30207
		member(86) 30719
		member(87) 30207
		member(88) 30207
		member(89) 30975
		member(90) 30975
		member(91) 30719
		member(92) 30975
		member(93) 32639
		member(94) 31487
		member(95) 31231
		member(96) 30975
		member(97) 32639
		member(98) 31487
		member(99) 31231
		member(100) 30975
		member(101) 32639
		member(102) 31487
		member(103) 31231
		member(104) 30975
		member(105) 32639
		member(106) 31487
		member(107) 31231
		member(108) 30975
		member(109) 32639
		member(110) 31487
		member(111) 31231
		member(112) 30975
		member(113) 32639
		member(114) 31487
		member(115) 31231
		member(116) 30975
		member(117) 32639
		member(118) 31487
		member(119) 31231
		member(120) 30975
		member(121) 32639
		member(122) 31487
		member(123) 31231
		member(124) 30975
		member(125) 32639
		member(126) 31487
		member(127) 31231
		member(128) 30975
		member(129) 32639
		member(130) 31487
		member(131) 31231
UpdateLinearVelocityData Instance62
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance63
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance64
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance60
		EvaluatorInput EfNormTime
UpdateOrientationData Instance65
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance61
		EvaluatorInput EfNormTime
UpdateRotationData Instance66
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance47
		EvaluatorInput EfNormTime
UpdateRotationData Instance67
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance46
		EvaluatorInput EfNormTime
UpdateSizeData Instance68
	$::ProcessorData
		$::DataContainer
		Pre Instance4
		NextProcessor Instance50
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance69
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance51
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance70
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance73
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/EF0FF905-9244-4F87-9985-1A69702E500B
	NormalTexture FX/Textures/Smoke/Smoke_Thin_01_4x2_Nm/91A836FD-B425-3B57-B464-FB8238147350
UpdateTextureCoordsData Instance71
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance72
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/EF0FF905-9244-4F87-9985-1A69702E500B
	NormalTexture FX/Textures/Smoke/Smoke_Thin_01_4x2_Nm/91A836FD-B425-3B57-B464-FB8238147350
UpdateTransparencyData Instance72
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance43
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance73
	$::ProcessorData
		$::DataContainer
		Pre Instance5
		NextProcessor Instance42
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
