ScalableEmitterDocument 621a27d7-369d-464d-ae0e-d276eb43bd51
		y 36.27692794799805
		z -10.792191505432129
		w 1.0480598211288452
PolynomialData Instance6
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 1.0491799116134644
		w -0.08991779386997223
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance7
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 3.6423115730285645
		y -9.911575317382812
		z 6.2462568283081055
		w 0.03147950768470764
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance8
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.25
	Coefficients::Vec4
		x 0.5048500299453735
		y -1.46488356590271
		z 1.4428577423095703
		w 0.5194470882415771
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance9
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 1.0716915130615234
		z -2.0616915225982666
		w 0.9900000095367432
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance10
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y -1.2169982194900513
		z 2.375429391860962
		w -0.1648971438407898
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance11
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 3.6423115730285645
		y -9.911575317382812
		z 6.2462568283081055
		w 0.03147950768470764
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance12
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y -1.2169982194900513
		z 2.375429391860962
		w -0.1648971438407898
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance13
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y -1.2169982194900513
		z 2.375429391860962
		w -0.1648971438407898
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance14
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 1.0491799116134644
		w -0.08991779386997223
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance15
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -0.508560061454773
		w 0.5052568316459656
	MinClamp 0.4000000059604645
	MaxClamp 1.0
PolynomialData Instance16
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.25
	Coefficients::Vec4
		x 0.5048500299453735
		y -1.46488356590271
		z 1.4428577423095703
		w 0.5194470882415771
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance17
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 1.0716915130615234
		z -2.0616915225982666
		w 0.9900000095367432
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance18
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.25
	Coefficients::Vec4
		x 0.5048500299453735
		y -1.46488356590271
		z 1.4428577423095703
		w 0.5194470882415771
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance19
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 1.0491799116134644
		w -0.08991779386997223
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance20
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -0.508560061454773
		w 0.5052568316459656
	MinClamp 0.4000000059604645
	MaxClamp 1.0
PolynomialData Instance21
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -0.508560061454773
		w 0.5052568316459656
	MinClamp 0.4000000059604645
	MaxClamp 1.0
PolynomialData Instance22
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 1.0716915130615234
		z -2.0616915225982666
		w 0.9900000095367432
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance23
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 3.6423115730285645
		y -9.911575317382812
		z 6.2462568283081055
		w 0.03147950768470764
	MinClamp 0.0
	MaxClamp 1.0
SpawnColorRandomData Instance24
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance84
		EvaluatorInput EfOne
	Color0::Vec3
		x 2.0
		y 2.0
		z 2.0
	Color1::Vec3
		x 1.0
		y 1.0
		z 1.0
SpawnColorRandomData Instance25
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance106
		EvaluatorInput EfOne
	Color0::Vec3
		x 2.0
		y 2.0
		z 2.0
	Color1::Vec3
		x 1.0
		y 1.0
		z 1.0
SpawnColorRandomData Instance26
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance107
		EvaluatorInput EfOne
	Color0::Vec3
		x 2.0
		y 2.0
		z 2.0
	Color1::Vec3
		x 1.0
		y 1.0
		z 1.0
SuperSphereEvaluatorData Instance27
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 1.0
		y 1.0
		z 10.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 2.0
	StartZenithAngle 0.0
	EndZenithAngle 6.960999965667725
	InnerRadiusBound 0.0
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.9963144659996033
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance28
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 1.0
		y 1.0
		z 10.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 2.0
	StartZenithAngle 0.0
	EndZenithAngle 6.960999965667725
	InnerRadiusBound 0.0
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.9963144659996033
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance29
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 1.0
		y 1.0
		z 10.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 2.0
	StartZenithAngle 0.0
	EndZenithAngle 6.960999965667725
	InnerRadiusBound 0.0
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.9963144659996033
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
UpdateColorData Instance30
	$::ProcessorData
		$::DataContainer
		Pre Instance5
		NextProcessor Instance59
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
UpdateColorData Instance31
	$::ProcessorData
		$::DataContainer
		Pre Instance3
		NextProcessor Instance57
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
UpdateColorData Instance32
	$::ProcessorData
		$::DataContainer
		Pre Instance4
		NextProcessor Instance108
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
AirResistanceData Instance33
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance36
		EvaluatorInput EfNormTime
	DragFactor 2.0
AirResistanceData Instance34
	$::ProcessorData
		$::DataContainer
		Pre Instance21
		NextProcessor Instance38
		EvaluatorInput EfNormTime
	DragFactor 2.0
AirResistanceData Instance35
	$::ProcessorData
		$::DataContainer
		Pre Instance15
		NextProcessor Instance37
		EvaluatorInput EfNormTime
	DragFactor 2.0
GravityData Instance36
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance112
		EvaluatorInput EfNormTime
	Gravity -5.0
	PerParticleRandomness 0.18199999630451202
GravityData Instance37
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance111
		EvaluatorInput EfNormTime
	Gravity -5.0
	PerParticleRandomness 0.18199999630451202
GravityData Instance38
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance113
		EvaluatorInput EfNormTime
	Gravity -5.0
	PerParticleRandomness 0.18199999630451202
RandomEvaluatorData Instance39
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.800000011920929
RandomEvaluatorData Instance40
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.800000011920929
RandomEvaluatorData Instance41
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance42
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 32.0
	Min 0.0
RandomEvaluatorData Instance43
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.5
	Min 1.0
RandomEvaluatorData Instance44
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance45
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance46
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance47
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.5
	Min 1.0
RandomEvaluatorData Instance48
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 32.0
	Min 0.0
RandomEvaluatorData Instance49
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.800000011920929
RandomEvaluatorData Instance50
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 32.0
	Min 0.0
RandomEvaluatorData Instance51
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance52
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance53
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.5
	Min 1.0
SpawnAnimationData Instance54
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance25
		EvaluatorInput EfOne
	AnimationSpeed 3.0
	BasedOnLifetime False
SpawnAnimationData Instance55
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance58
		EvaluatorInput EfOne
	AnimationSpeed 3.0
	BasedOnLifetime False
SpawnAnimationData Instance56
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance26
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationFrameData Instance57
	$::ProcessorData
		$::DataContainer
		Pre Instance48
		NextProcessor Instance54
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance58
	$::ProcessorData
		$::DataContainer
		Pre Instance50
		NextProcessor Instance97
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance59
	$::ProcessorData
		$::DataContainer
		Pre Instance42
		NextProcessor Instance56
		EvaluatorInput EfOne
	AnimationFrame 0
SpawnDirectionData Instance60
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance63
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 1.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance61
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance65
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 1.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance62
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance64
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 1.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnPositionData Instance63
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance80
		EvaluatorInput EfOne
SpawnPositionData Instance64
	$::ProcessorData
		$::DataContainer
		Pre Instance29
		NextProcessor Instance79
		EvaluatorInput EfOne
SpawnPositionData Instance65
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance78
		EvaluatorInput EfOne
SpawnRateData Instance66
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance33
		EvaluatorInput EfOne
	SpawnRate 5.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance67
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance34
		EvaluatorInput EfOne
	SpawnRate 5.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance68
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance35
		EvaluatorInput EfOne
	SpawnRate 5.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance69
	$::ProcessorData
		$::DataContainer
		Pre Instance44
		NextProcessor Instance74
		EvaluatorInput EfOne
	Rotation 180.0
SpawnRotationData Instance70
	$::ProcessorData
		$::DataContainer
		Pre Instance51
		NextProcessor Instance72
		EvaluatorInput EfOne
	Rotation 180.0
SpawnRotationData Instance71
	$::ProcessorData
		$::DataContainer
		Pre Instance45
		NextProcessor Instance73
		EvaluatorInput EfOne
	Rotation 180.0
SpawnRotationSpeedData Instance72
	$::ProcessorData
		$::DataContainer
		Pre Instance41
		NextProcessor Instance102
		EvaluatorInput EfOne
	RotationSpeed 0.019999999552965164
SpawnRotationSpeedData Instance73
	$::ProcessorData
		$::DataContainer
		Pre Instance52
		NextProcessor Instance103
		EvaluatorInput EfOne
	RotationSpeed 0.019999999552965164
SpawnRotationSpeedData Instance74
	$::ProcessorData
		$::DataContainer
		Pre Instance46
		NextProcessor Instance104
		EvaluatorInput EfOne
	RotationSpeed 0.019999999552965164
SpawnSizeData Instance75
	$::ProcessorData
		$::DataContainer
		Pre Instance47
		NextProcessor Instance61
		EvaluatorInput EfOne
	Size 8.0
SpawnSizeData Instance76
	$::ProcessorData
		$::DataContainer
		Pre Instance43
		NextProcessor Instance60
		EvaluatorInput EfOne
	Size 8.0
SpawnSizeData Instance77
	$::ProcessorData
		$::DataContainer
		Pre Instance53
		NextProcessor Instance62
		EvaluatorInput EfOne
	Size 8.0
SpawnSpeedData Instance78
	$::ProcessorData
		$::DataContainer
		Pre Instance40
		NextProcessor Instance24
		EvaluatorInput EfOne
	Speed 10.0
SpawnSpeedData Instance79
	$::ProcessorData
		$::DataContainer
		Pre Instance49
		NextProcessor Instance98
		EvaluatorInput EfOne
	Speed 10.0
SpawnSpeedData Instance80
	$::ProcessorData
		$::DataContainer
		Pre Instance39
		NextProcessor Instance96
		EvaluatorInput EfOne
	Speed 10.0
UpdateAgeData Instance81
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance68
		EvaluatorInput EfOne
	Lifetime 4.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance82
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance67
		EvaluatorInput EfOne
	Lifetime 4.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance83
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance66
		EvaluatorInput EfOne
	Lifetime 4.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAlphaLevelMinData Instance84
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance105
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance85
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance88
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance86
	$::ProcessorData
		$::DataContainer
		Pre Instance6
		NextProcessor Instance89
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelScaleData Instance87
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance32
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateAlphaLevelScaleData Instance88
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance30
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateAlphaLevelScaleData Instance89
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance31
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateClipScaleData Instance90
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance93
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 20735
		member(5) 21759
		member(6) 32511
		member(7) 31999
		member(8) 20735
		member(9) 21759
		member(10) 32511
		member(11) 31999
		member(12) 20735
		member(13) 21759
		member(14) 32511
		member(15) 31999
		member(16) 20479
		member(17) 21503
		member(18) 32255
		member(19) 31231
		member(20) 20223
		member(21) 20735
		member(22) 31743
		member(23) 30975
		member(24) 19711
		member(25) 20479
		member(26) 30975
		member(27) 30463
		member(28) 19199
		member(29) 19967
		member(30) 30719
		member(31) 29183
		member(32) 18943
		member(33) 19455
		member(34) 30463
		member(35) 28927
		member(36) 18431
		member(37) 18943
		member(38) 30207
		member(39) 28159
		member(40) 18175
		member(41) 18175
		member(42) 28927
		member(43) 27391
		member(44) 17919
		member(45) 17663
		member(46) 27647
		member(47) 27135
		member(48) 17663
		member(49) 16639
		member(50) 27135
		member(51) 26879
		member(52) 17407
		member(53) 15871
		member(54) 26879
		member(55) 26623
		member(56) 17151
		member(57) 15615
		member(58) 26623
		member(59) 26367
		member(60) 16895
		member(61) 15359
		member(62) 25599
		member(63) 26111
		member(64) 16639
		member(65) 15103
		member(66) 25343
		member(67) 25855
		member(68) 15103
		member(69) 15103
		member(70) 25343
		member(71) 25855
		member(72) 14847
		member(73) 14847
		member(74) 25087
		member(75) 25599
		member(76) 14591
		member(77) 14591
		member(78) 25087
		member(79) 25599
		member(80) 14591
		member(81) 14335
		member(82) 24831
		member(83) 25087
		member(84) 14335
		member(85) 14079
		member(86) 24575
		member(87) 24575
		member(88) 14335
		member(89) 14079
		member(90) 24319
		member(91) 24319
		member(92) 14079
		member(93) 13567
		member(94) 23807
		member(95) 24063
		member(96) 14079
		member(97) 13567
		member(98) 23551
		member(99) 23807
		member(100) 13823
		member(101) 13567
		member(102) 23039
		member(103) 23295
		member(104) 13567
		member(105) 13311
		member(106) 22527
		member(107) 22783
		member(108) 13311
		member(109) 13055
		member(110) 22271
		member(111) 20479
		member(112) 13055
		member(113) 13055
		member(114) 22015
		member(115) 20223
		member(116) 12799
		member(117) 12799
		member(118) 21759
		member(119) 19967
		member(120) 12287
		member(121) 12287
		member(122) 21247
		member(123) 19455
		member(124) 12031
		member(125) 11775
		member(126) 20991
		member(127) 18175
		member(128) 11775
		member(129) 10495
		member(130) 20223
		member(131) 17151
UpdateClipScaleData Instance91
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance94
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 20735
		member(5) 21759
		member(6) 32511
		member(7) 31999
		member(8) 20735
		member(9) 21759
		member(10) 32511
		member(11) 31999
		member(12) 20735
		member(13) 21759
		member(14) 32511
		member(15) 31999
		member(16) 20479
		member(17) 21503
		member(18) 32255
		member(19) 31231
		member(20) 20223
		member(21) 20735
		member(22) 31743
