ScalableEmitterDocument 78db9280-8342-4097-ae3d-7da53f960749
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance6
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 3.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -5.0
		w 5.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance7
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 3.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -5.0
		w 5.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance8
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 1.0691487789154053
		w -0.005691363010555506
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance9
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -10.0
		w 1.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance10
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -10.0
		w 1.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance11
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 3.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -5.0
		w 5.0
	MinClamp 0.0
	MaxClamp 1.0
SuperSphereEvaluatorData Instance12
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.4000000059604645
	Scale::Vec3
		x 80.0
		y 80.0
		z 3.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 1.0
	StartZenithAngle 0.0
	EndZenithAngle 140.0
	InnerRadiusBound 0.06400000303983688
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.11697778105735779
	StartAzimuthAngle 180.0
	EndAzimuthAngle 180.0
SuperSphereEvaluatorData Instance13
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.4000000059604645
	Scale::Vec3
		x 80.0
		y 80.0
		z 3.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 1.0
	StartZenithAngle 0.0
	EndZenithAngle 140.0
	InnerRadiusBound 0.06400000303983688
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.11697778105735779
	StartAzimuthAngle 180.0
	EndAzimuthAngle 180.0
SuperSphereEvaluatorData Instance14
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.4000000059604645
	Scale::Vec3
		x 80.0
		y 80.0
		z 3.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 1.0
	StartZenithAngle 0.0
	EndZenithAngle 140.0
	InnerRadiusBound 0.06400000303983688
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.11697778105735779
	StartAzimuthAngle 180.0
	EndAzimuthAngle 180.0
UpdateColorData Instance15
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance75
		EvaluatorInput EfNormTime
	Color::Vec3
		x 2.0
		y 2.0
		z 2.0
UpdateColorData Instance16
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance77
		EvaluatorInput EfNormTime
	Color::Vec3
		x 2.0
		y 2.0
		z 2.0
UpdateColorData Instance17
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance76
		EvaluatorInput EfNormTime
	Color::Vec3
		x 2.0
		y 2.0
		z 2.0
AirResistanceData Instance18
	$::ProcessorData
		$::DataContainer
		Pre Instance5
		NextProcessor Instance22
		EvaluatorInput EfNormTime
	DragFactor 0.0
AirResistanceData Instance19
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance23
		EvaluatorInput EfNormTime
	DragFactor 0.0
AirResistanceData Instance20
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance21
		EvaluatorInput EfNormTime
	DragFactor 0.0
GravityData Instance21
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance16
		EvaluatorInput EfNormTime
	Gravity 6.0
	PerParticleRandomness 0.0
GravityData Instance22
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance17
		EvaluatorInput EfNormTime
	Gravity 6.0
	PerParticleRandomness 0.0
GravityData Instance23
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance15
		EvaluatorInput EfNormTime
	Gravity 6.0
	PerParticleRandomness 0.0
RandomEvaluatorData Instance24
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance25
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance26
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.10000000149011612
RandomEvaluatorData Instance27
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance28
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance29
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.10000000149011612
RandomEvaluatorData Instance30
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance31
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.10000000149011612
RandomEvaluatorData Instance32
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance33
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance34
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance35
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomXYZEvaluatorData Instance36
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 1.0
	MinX 0.10000000149011612
	MaxY 0.0
	MinY 0.0
	MaxZ 1.0
	MinZ 0.15000000596046448
RandomXYZEvaluatorData Instance37
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 180.0
	MinX -180.0
	MaxY 90.0
	MinY 90.0
	MaxZ 15.0
	MinZ -15.0
RandomXYZEvaluatorData Instance38
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 180.0
	MinX -180.0
	MaxY 90.0
	MinY 90.0
	MaxZ 15.0
	MinZ -15.0
RandomXYZEvaluatorData Instance39
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 1.0
	MinX 0.10000000149011612
	MaxY 0.0
	MinY 0.0
	MaxZ 1.0
	MinZ 0.15000000596046448
RandomXYZEvaluatorData Instance40
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 1.0
	MinX 0.10000000149011612
	MaxY 0.0
	MinY 0.0
	MaxZ 1.0
	MinZ 0.15000000596046448
RandomXYZEvaluatorData Instance41
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 180.0
	MinX -180.0
	MaxY 90.0
	MinY 90.0
	MaxZ 15.0
	MinZ -15.0
SpawnDirectionData Instance42
	$::ProcessorData
		$::DataContainer
		Pre Instance39
		NextProcessor Instance71
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.3499999940395355
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance43
	$::ProcessorData
		$::DataContainer
		Pre Instance40
		NextProcessor Instance70
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.3499999940395355
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance44
	$::ProcessorData
		$::DataContainer
		Pre Instance36
		NextProcessor Instance69
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.3499999940395355
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnOrientationData Instance45
	$::ProcessorData
		$::DataContainer
		Pre Instance41
		NextProcessor Instance54
		EvaluatorInput EfOne
SpawnOrientationData Instance46
	$::ProcessorData
		$::DataContainer
		Pre Instance37
		NextProcessor Instance56
		EvaluatorInput EfOne
SpawnOrientationData Instance47
	$::ProcessorData
		$::DataContainer
		Pre Instance38
		NextProcessor Instance55
		EvaluatorInput EfOne
SpawnPositionData Instance48
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance63
		EvaluatorInput EfOne
SpawnPositionData Instance49
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance65
		EvaluatorInput EfOne
SpawnPositionData Instance50
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance64
		EvaluatorInput EfOne
SpawnRateData Instance51
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance74
		EvaluatorInput EfOne
	SpawnRate 60.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance52
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance73
		EvaluatorInput EfOne
	SpawnRate 100.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance53
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance72
		EvaluatorInput EfOne
	SpawnRate 150.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance54
	$::ProcessorData
		$::DataContainer
		Pre Instance33
		NextProcessor Instance58
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance55
	$::ProcessorData
		$::DataContainer
		Pre Instance24
		NextProcessor Instance57
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance56
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance59
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationSpeedData Instance57
	$::ProcessorData
		$::DataContainer
		Pre Instance25
		NextProcessor Instance60
		EvaluatorInput EfOne
	RotationSpeed 1.0
SpawnRotationSpeedData Instance58
	$::ProcessorData
		$::DataContainer
		Pre Instance34
		NextProcessor Instance62
		EvaluatorInput EfOne
	RotationSpeed 1.0
SpawnRotationSpeedData Instance59
	$::ProcessorData
		$::DataContainer
		Pre Instance35
		NextProcessor Instance61
		EvaluatorInput EfOne
	RotationSpeed 1.0
SpawnSizeData Instance60
	$::ProcessorData
		$::DataContainer
		Pre Instance29
		NextProcessor Instance20
		EvaluatorInput EfOne
	Size 1.0
SpawnSizeData Instance61
	$::ProcessorData
		$::DataContainer
		Pre Instance31
		NextProcessor Instance19
		EvaluatorInput EfOne
	Size 1.0
SpawnSizeData Instance62
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance18
		EvaluatorInput EfOne
	Size 1.0
SpawnSpeedData Instance63
	$::ProcessorData
		$::DataContainer
		Pre Instance30
		NextProcessor Instance44
		EvaluatorInput EfOne
	Speed 20.0
SpawnSpeedData Instance64
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance43
		EvaluatorInput EfOne
	Speed 20.0
SpawnSpeedData Instance65
	$::ProcessorData
		$::DataContainer
		Pre Instance32
		NextProcessor Instance42
		EvaluatorInput EfOne
	Speed 20.0
UpdateAgeData Instance66
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance52
		EvaluatorInput EfOne
	Lifetime 6.0
	RandomLifetimeScale 0.25
	MaxFactor 1.0
UpdateAgeData Instance67
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance51
		EvaluatorInput EfOne
	Lifetime 6.0
	RandomLifetimeScale 0.25
	MaxFactor 1.0
UpdateAgeData Instance68
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance53
		EvaluatorInput EfOne
	Lifetime 6.0
	RandomLifetimeScale 0.25
	MaxFactor 1.0
UpdateLinearVelocityData Instance69
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance70
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance71
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateRotationData Instance72
	$::ProcessorData
		$::DataContainer
		Pre Instance4
		NextProcessor Instance45
		EvaluatorInput EfNormSpeed
UpdateRotationData Instance73
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance47
		EvaluatorInput EfNormSpeed
UpdateRotationData Instance74
	$::ProcessorData
		$::DataContainer
		Pre Instance3
		NextProcessor Instance46
		EvaluatorInput EfNormSpeed
UpdateSizeData Instance75
	$::ProcessorData
		$::DataContainer
		Pre Instance6
		NextProcessor Instance80
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance76
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance79
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance77
	$::ProcessorData
		$::DataContainer
		Pre Instance7
		NextProcessor Instance78
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
WorldForcesData Instance78
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance48
		EvaluatorInput EfNormTime
	ForcesMultiplier 5.0
	PerParticleRandomness 0.0
WorldForcesData Instance79
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance49
		EvaluatorInput EfNormTime
	ForcesMultiplier 5.0
	PerParticleRandomness 0.0
WorldForcesData Instance80
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance50
		EvaluatorInput EfNormTime
	ForcesMultiplier 5.0
	PerParticleRandomness 0.0
