Partition F46C45F8-FB9D-4CBC-9B1C-17B8A2480C59
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.4567756652832031
		y -1.3110681772232056
		z -0.1372109204530716
		w 0.9915028214454651
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance14
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.0
		w 1.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance15
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.5
	Coefficients::Vec4
		x 0.4567756652832031
		y -1.3110681772232056
		z -0.1372109204530716
		w 0.9915028214454651
	MinClamp 0.0
	MaxClamp 1.0
SpawnColorRandomData Instance16
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance40
		EvaluatorInput EfOne
	Color0::Vec3
		x 1.0
		y 1.0
		z 1.0
	Color1::Vec3
		x 0.009999999776482582
		y 0.009999999776482582
		z 0.009999999776482582
SpawnColorRandomData Instance17
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance41
		EvaluatorInput EfOne
	Color0::Vec3
		x 1.0
		y 1.0
		z 1.0
	Color1::Vec3
		x 0.009999999776482582
		y 0.009999999776482582
		z 0.009999999776482582
SuperSphereEvaluatorData Instance18
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 1.0
		y 1.0
		z 1.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 2.0
	StartZenithAngle 72.59700012207031
	EndZenithAngle 104.41999816894531
	InnerRadiusBound 0.0
	StartZenithAngleBound 0.6495453715324402
	EndZenithAngleBound 0.37548601627349854
	StartAzimuthAngle 28.42099952697754
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance19
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 1.0
		y 1.0
		z 1.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 2.0
	StartZenithAngle 72.59700012207031
	EndZenithAngle 104.41999816894531
	InnerRadiusBound 0.0
	StartZenithAngleBound 0.6495453715324402
	EndZenithAngleBound 0.37548601627349854
	StartAzimuthAngle 28.42099952697754
	EndAzimuthAngle -180.0
UpdateColorData Instance20
	$::ProcessorData
		$::DataContainer
		Pre Instance2
		NextProcessor Instance57
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
UpdateColorData Instance21
	$::ProcessorData
		$::DataContainer
		Pre Instance3
		NextProcessor Instance56
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
AirResistanceData Instance22
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance20
		EvaluatorInput EfNormTime
	DragFactor 8.0
AirResistanceData Instance23
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance21
		EvaluatorInput EfNormTime
	DragFactor 8.0
RandomEvaluatorData Instance24
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 3.0
	Min 0.4000000059604645
RandomEvaluatorData Instance25
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 2.0
	Min 0.0
RandomEvaluatorData Instance26
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 1.0
RandomEvaluatorData Instance27
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.75
RandomEvaluatorData Instance28
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.75
RandomEvaluatorData Instance29
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 2.0
	Min 0.0
RandomEvaluatorData Instance30
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 3.0
	Min 0.4000000059604645
RandomEvaluatorData Instance31
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 1.0
RandomEvaluatorData Instance32
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 1.0
RandomEvaluatorData Instance33
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 1.0
SpawnAnimationData Instance34
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance73
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance35
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance72
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationFrameData Instance36
	$::ProcessorData
		$::DataContainer
		Pre Instance29
		NextProcessor Instance35
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance37
	$::ProcessorData
		$::DataContainer
		Pre Instance25
		NextProcessor Instance34
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnDirectionData Instance38
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance51
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 1.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance39
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance50
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 1.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnPositionData Instance40
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance62
		EvaluatorInput EfOne
SpawnPositionData Instance41
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance63
		EvaluatorInput EfOne
SpawnRateData Instance42
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance39
		EvaluatorInput EfNormTime
	SpawnRate 1500.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance43
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance38
		EvaluatorInput EfNormTime
	SpawnRate 1500.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance44
	$::ProcessorData
		$::DataContainer
		Pre Instance33
		NextProcessor Instance46
		EvaluatorInput EfOne
	Rotation 0.75
SpawnRotationData Instance45
	$::ProcessorData
		$::DataContainer
		Pre Instance31
		NextProcessor Instance47
		EvaluatorInput EfOne
	Rotation 0.75
SpawnRotationSpeedData Instance46
	$::ProcessorData
		$::DataContainer
		Pre Instance32
		NextProcessor Instance67
		EvaluatorInput EfOne
	RotationSpeed 0.0
SpawnRotationSpeedData Instance47
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance66
		EvaluatorInput EfOne
	RotationSpeed 0.0
SpawnSizeData Instance48
	$::ProcessorData
		$::DataContainer
		Pre Instance24
		NextProcessor Instance23
		EvaluatorInput EfOne
	Size 1.0
SpawnSizeData Instance49
	$::ProcessorData
		$::DataContainer
		Pre Instance30
		NextProcessor Instance22
		EvaluatorInput EfOne
	Size 1.0
SpawnSpeedData Instance50
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance64
		EvaluatorInput EfOne
	Speed 15.0
SpawnSpeedData Instance51
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance65
		EvaluatorInput EfOne
	Speed 15.0
UpdateAgeData Instance52
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance42
		EvaluatorInput EfOne
	Lifetime 1.0
	RandomLifetimeScale 0.4000000059604645
	MaxFactor 1.0
UpdateAgeData Instance53
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance43
		EvaluatorInput EfOne
	Lifetime 1.0
	RandomLifetimeScale 0.4000000059604645
	MaxFactor 1.0
UpdateAlphaLevelMinData Instance54
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance17
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance55
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance16
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelScaleData Instance56
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance36
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateAlphaLevelScaleData Instance57
	$::ProcessorData
		$::DataContainer
		Pre Instance4
		NextProcessor Instance37
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateClipScaleData Instance58
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance60
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 29823
		member(1) 28287
		member(2) 28159
		member(3) 26879
		member(4) 29823
		member(5) 28287
		member(6) 28159
		member(7) 26879
		member(8) 29823
		member(9) 28287
		member(10) 28159
		member(11) 26879
		member(12) 29823
		member(13) 28287
		member(14) 28159
		member(15) 26879
		member(16) 29823
		member(17) 28287
		member(18) 28159
		member(19) 26879
		member(20) 29823
		member(21) 28287
		member(22) 28159
		member(23) 26879
		member(24) 29823
		member(25) 28287
		member(26) 28159
		member(27) 26879
		member(28) 29823
		member(29) 28287
		member(30) 28159
		member(31) 26879
		member(32) 29823
		member(33) 28287
		member(34) 28159
		member(35) 26879
		member(36) 29823
		member(37) 28287
		member(38) 28159
		member(39) 26879
		member(40) 29823
		member(41) 28287
		member(42) 28159
		member(43) 26879
		member(44) 29823
		member(45) 28287
		member(46) 28159
		member(47) 26879
		member(48) 29823
		member(49) 28287
		member(50) 28159
		member(51) 26879
		member(52) 29823
		member(53) 28287
		member(54) 28159
		member(55) 26879
		member(56) 29823
		member(57) 28287
		member(58) 28159
		member(59) 26879
		member(60) 29823
		member(61) 28287
		member(62) 28159
		member(63) 26623
		member(64) 29823
		member(65) 28287
		member(66) 28159
		member(67) 26623
		member(68) 29823
		member(69) 28287
		member(70) 28159
		member(71) 25855
		member(72) 29695
		member(73) 28287
		member(74) 28159
		member(75) 25855
		member(76) 29055
		member(77) 27775
		member(78) 28159
		member(79) 25855
		member(80) 29055
		member(81) 27391
		member(82) 28159
		member(83) 25599
		member(84) 29055
		member(85) 27007
		member(86) 28159
		member(87) 25599
		member(88) 28415
		member(89) 26751
		member(90) 28159
		member(91) 25599
		member(92) 28415
		member(93) 26623
		member(94) 28159
		member(95) 25599
		member(96) 28159
		member(97) 25983
		member(98) 28159
		member(99) 25599
		member(100) 25599
		member(101) 25983
		member(102) 28159
		member(103) 25343
		member(104) 25471
		member(105) 25855
		member(106) 28159
		member(107) 24319
		member(108) 25471
		member(109) 25727
		member(110) 26111
		member(111) 24319
		member(112) 23807
		member(113) 25727
		member(114) 25855
		member(115) 21503
		member(116) 23679
		member(117) 25343
		member(118) 25855
		member(119) 20991
		member(120) 21247
		member(121) 25343
		member(122) 25855
		member(123) 20991
		member(124) 20095
		member(125) 24703
		member(126) 24831
		member(127) 20991
		member(128) 19583
		member(129) 24575
		member(130) 22783
		member(131) 19455
UpdateClipScaleData Instance59
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance61
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 29823
		member(1) 28287
		member(2) 28159
		member(3) 26879
		member(4) 29823
		member(5) 28287
		member(6) 28159
		member(7) 26879
		member(8) 29823
		member(9) 28287
		member(10) 28159
		member(11) 26879
		member(12) 29823
		member(13) 28287
		member(14) 28159
		member(15) 26879
		member(16) 29823
		member(17) 28287
		member(18) 28159
		member(19) 26879
		member(20) 29823
		member(21) 28287
		member(22) 28159
		member(23) 26879
		member(24) 29823
		member(25) 28287
		member(26) 28159
		member(27) 26879
		member(28) 29823
		member(29) 28287
		member(30) 28159
		member(31) 26879
		member(32) 29823
		member(33) 28287
		member(34) 28159
		member(35) 26879
		member(36) 29823
		member(37) 28287
		member(38) 28159
		member(39) 26879
		member(40) 29823
		member(41) 28287
		member(42) 28159
		member(43) 26879
		member(44) 29823
		member(45) 28287
		member(46) 28159
		member(47) 26879
		member(48) 29823
		member(49) 28287
		member(50) 28159
		member(51) 26879
		member(52) 29823
		member(53) 28287
		member(54) 28159
		member(55) 26879
		member(56) 29823
		member(57) 28287
		member(58) 28159
		member(59) 26879
		member(60) 29823
		member(61) 28287
		member(62) 28159
		member(63) 26623
		member(64) 29823
		member(65) 28287
		member(66) 28159
		member(67) 26623
		member(68) 29823
		member(69) 28287
		member(70) 28159
		member(71) 25855
		member(72) 29695
		member(73) 28287
		member(74) 28159
		member(75) 25855
		member(76) 29055
		member(77) 27775
		member(78) 28159
		member(79) 25855
		member(80) 29055
		member(81) 27391
		member(82) 28159
		member(83) 25599
		member(84) 29055
		member(85) 27007
		member(86) 28159
		member(87) 25599
		member(88) 28415
		member(89) 26751
		member(90) 28159
		member(91) 25599
		member(92) 28415
		member(93) 26623
		member(94) 28159
		member(95) 25599
		member(96) 28159
		member(97) 25983
		member(98) 28159
		member(99) 25599
		member(100) 25599
		member(101) 25983
		member(102) 28159
		member(103) 25343
		member(104) 25471
		member(105) 25855
		member(106) 28159
		member(107) 24319
		member(108) 25471
		member(109) 25727
		member(110) 26111
		member(111) 24319
		member(112) 23807
		member(113) 25727
		member(114) 25855
		member(115) 21503
		member(116) 23679
		member(117) 25343
		member(118) 25855
		member(119) 20991
		member(120) 21247
		member(121) 25343
		member(122) 25855
		member(123) 20991
		member(124) 20095
		member(125) 24703
		member(126) 24831
		member(127) 20991
		member(128) 19583
		member(129) 24575
		member(130) 22783
		member(131) 19455
UpdateLinearVelocityData Instance60
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance61
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance62
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance58
		EvaluatorInput EfNormTime
UpdateOrientationData Instance63
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance59
		EvaluatorInput EfNormTime
UpdateRotationData Instance64
	$::ProcessorData
		$::DataContainer
		Pre Instance7
		NextProcessor Instance45
		EvaluatorInput EfNormTime
UpdateRotationData Instance65
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance44
		EvaluatorInput EfNormTime
UpdateSizeData Instance66
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance69
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y -0.5
UpdateSizeData Instance67
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance68
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y -0.5
UpdateSizeXData Instance68
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance70
		EvaluatorInput EfNormTime
UpdateSizeXData Instance69
	$::ProcessorData
		$::DataContainer
		Pre Instance6
		NextProcessor Instance71
		EvaluatorInput EfNormTime
UpdateSizeYData Instance70
	$::ProcessorData
		$::DataContainer
		Pre Instance5
		NextProcessor Instance49
		EvaluatorInput EfNormTime
UpdateSizeYData Instance71
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance48
		EvaluatorInput EfNormTime
UpdateTextureCoordsData Instance72
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance75
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Water/WaterSpray_Arm_01_2x2/BA957034-3CD6-408B-BF4C-40DA80664B6E
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance73
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance74
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Water/WaterSpray_Arm_01_2x2/BA957034-3CD6-408B-BF4C-40DA80664B6E
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTransparencyData Instance74
	$::ProcessorData
		$::DataContainer
		Pre Instance15
		NextProcessor Instance55
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance75
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance54
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
