Partition 67DC2EE1-E366-4952-80DE-3FCFF58417EA
	PerParticleRandomness 0.0
	EmitterLocalSpaceForce False
	LocalForce::Vec3
		x 0.0
		y 0.0
		z 0.0
LocalForceData Instance5
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance72
		EvaluatorInput EfNormTime
	PerParticleRandomness 0.0
	EmitterLocalSpaceForce False
	LocalForce::Vec3
		x 0.0
		y 0.0
		z 0.0
PolynomialColorInterpData Instance6
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Color0::Vec3
		x 2.0
		y 0.44699999690055847
		z 0.44699999690055847
	Color1::Vec3
		x 1.0
		y 0.7590000033378601
		z 0.7590000033378601
	Coefficients::Vec4
		x 0.0
		y 0.4184432923793793
		z -1.4097923040390015
		w 0.9970384240150452
PolynomialColorInterpData Instance7
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Color0::Vec3
		x 2.0
		y 0.44699999690055847
		z 0.44699999690055847
	Color1::Vec3
		x 5.947999954223633
		y 4.605000019073486
		z 4.605000019073486
	Coefficients::Vec4
		x 0.0
		y 0.4184432923793793
		z -1.4097923040390015
		w 0.9970384240150452
PolynomialColorInterpData Instance8
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Color0::Vec3
		x 2.0
		y 0.44699999690055847
		z 0.44699999690055847
	Color1::Vec3
		x 5.947999954223633
		y 4.605000019073486
		z 4.605000019073486
	Coefficients::Vec4
		x 0.0
		y 0.4184432923793793
		z -1.4097923040390015
		w 0.9970384240150452
PolynomialData Instance9
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -2.8181827068328857
		w 1.0290913581848145
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance10
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.0
		w 1.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance11
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.0
		w 1.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance12
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.8999999761581421
	Coefficients::Vec4
		x 0.0
		y -0.7370062470436096
		z -0.24204815924167633
		w 0.9926531314849854
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance13
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.0
		w 1.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance14
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -2.8181827068328857
		w 1.0290913581848145
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance15
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 1.3604156970977783
		y -3.3690690994262695
		z 2.9303369522094727
		w 0.08103210479021072
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance16
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -2.8181827068328857
		w 1.0290913581848145
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance17
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.8999999761581421
	Coefficients::Vec4
		x 0.0
		y -0.7370062470436096
		z -0.24204815924167633
		w 0.9926531314849854
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance18
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 1.3604156970977783
		y -3.3690690994262695
		z 2.9303369522094727
		w 0.08103210479021072
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance19
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.8288322687149048
		y -2.5942111015319824
		z 2.7423017024993896
		w 0.022683246061205864
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance20
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.8288322687149048
		y -2.5942111015319824
		z 2.7423017024993896
		w 0.022683246061205864
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance21
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.8288322687149048
		y -2.5942111015319824
		z 2.7423017024993896
		w 0.022683246061205864
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance22
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.8999999761581421
	Coefficients::Vec4
		x 0.0
		y -0.7370062470436096
		z -0.24204815924167633
		w 0.9926531314849854
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance23
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 1.3604156970977783
		y -3.3690690994262695
		z 2.9303369522094727
		w 0.08103210479021072
	MinClamp 0.10000000149011612
	MaxClamp 1.0
UpdateColorData Instance24
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance53
		EvaluatorInput EfNormTime
	Color::Vec3
		x 3.434999942779541
		y 0.27300000190734863
		z 0.10400000214576721
UpdateColorData Instance25
	$::ProcessorData
		$::DataContainer
		Pre Instance7
		NextProcessor Instance101
		EvaluatorInput EfNormTime
	Color::Vec3
		x 3.434999942779541
		y 0.27300000190734863
		z 0.10400000214576721
UpdateColorData Instance26
	$::ProcessorData
		$::DataContainer
		Pre Instance6
		NextProcessor Instance52
		EvaluatorInput EfNormTime
	Color::Vec3
		x 3.434999942779541
		y 0.27300000190734863
		z 0.10400000214576721
AirResistanceData Instance27
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance89
		EvaluatorInput EfNormTime
	DragFactor 1.0
AirResistanceData Instance28
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance87
		EvaluatorInput EfNormTime
	DragFactor 1.0
AirResistanceData Instance29
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance51
		EvaluatorInput EfNormTime
	DragFactor 1.0
GravityData Instance30
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance3
		EvaluatorInput EfNormTime
	Gravity -0.5
	PerParticleRandomness 0.0
GravityData Instance31
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance4
		EvaluatorInput EfNormTime
	Gravity -0.5
	PerParticleRandomness 0.0
GravityData Instance32
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance5
		EvaluatorInput EfNormTime
	Gravity -0.5
	PerParticleRandomness 0.0
RandomEvaluatorData Instance33
	$::EvaluatorData
		$::DataContainer
		Parameter FX/GlobalEffectParameterList/24B649AF-3893-4DE6-9AC4-9803052E4BFF
	Max 1.0
	Min 0.75
RandomEvaluatorData Instance34
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 32.0
	Min 0.0
RandomEvaluatorData Instance35
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance36
	$::EvaluatorData
		$::DataContainer
		Parameter FX/GlobalEffectParameterList/24B649AF-3893-4DE6-9AC4-9803052E4BFF
	Max 1.0
	Min 0.75
RandomEvaluatorData Instance37
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance38
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance39
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance40
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance41
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance42
	$::EvaluatorData
		$::DataContainer
		Parameter FX/GlobalEffectParameterList/24B649AF-3893-4DE6-9AC4-9803052E4BFF
	Max 1.0
	Min 0.75
RandomEvaluatorData Instance43
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance44
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomXYZEvaluatorData Instance45
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 0.10000000149011612
	MinX -0.10000000149011612
	MaxY 0.20000000298023224
	MinY 0.05000000074505806
	MaxZ 1.0
	MinZ 1.0
RandomXYZEvaluatorData Instance46
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 0.10000000149011612
	MinX -0.10000000149011612
	MaxY 0.20000000298023224
	MinY 0.05000000074505806
	MaxZ 1.0
	MinZ 1.0
RandomXYZEvaluatorData Instance47
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 0.10000000149011612
	MinX -0.10000000149011612
	MaxY 0.20000000298023224
	MinY 0.05000000074505806
	MaxZ 1.0
	MinZ 1.0
SpawnAnimationData Instance48
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance96
		EvaluatorInput EfOne
	AnimationSpeed 15.0
	BasedOnLifetime False
SpawnAnimationData Instance49
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance98
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance50
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance97
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationFrameData Instance51
	$::ProcessorData
		$::DataContainer
		Pre Instance44
		NextProcessor Instance50
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance52
	$::ProcessorData
		$::DataContainer
		Pre Instance34
		NextProcessor Instance48
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance53
	$::ProcessorData
		$::DataContainer
		Pre Instance43
		NextProcessor Instance49
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnDirectionData Instance54
	$::ProcessorData
		$::DataContainer
		Pre Instance47
		NextProcessor Instance90
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance55
	$::ProcessorData
		$::DataContainer
		Pre Instance45
		NextProcessor Instance92
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance56
	$::ProcessorData
		$::DataContainer
		Pre Instance46
		NextProcessor Instance91
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnRateData Instance57
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance55
		EvaluatorInput EfOne
	SpawnRate 7.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance58
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance56
		EvaluatorInput EfOne
	SpawnRate 7.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance59
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance54
		EvaluatorInput EfOne
	SpawnRate 7.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance60
	$::ProcessorData
		$::DataContainer
		Pre Instance35
		NextProcessor Instance63
		EvaluatorInput EfOne
	Rotation 0.10000000149011612
SpawnRotationData Instance61
	$::ProcessorData
		$::DataContainer
		Pre Instance39
		NextProcessor Instance65
		EvaluatorInput EfOne
	Rotation 0.10000000149011612
SpawnRotationData Instance62
	$::ProcessorData
		$::DataContainer
		Pre Instance37
		NextProcessor Instance64
		EvaluatorInput EfOne
	Rotation 0.10000000149011612
SpawnRotationSpeedData Instance63
	$::ProcessorData
		$::DataContainer
		Pre Instance38
		NextProcessor Instance94
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnRotationSpeedData Instance64
	$::ProcessorData
		$::DataContainer
		Pre Instance41
		NextProcessor Instance93
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnRotationSpeedData Instance65
	$::ProcessorData
		$::DataContainer
		Pre Instance40
		NextProcessor Instance95
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnSizeData Instance66
	$::ProcessorData
		$::DataContainer
		Pre Instance42
		NextProcessor Instance30
		EvaluatorInput EfOne
	Size 1.25
SpawnSizeData Instance67
	$::ProcessorData
		$::DataContainer
		Pre Instance33
		NextProcessor Instance31
		EvaluatorInput EfOne
	Size 1.25
SpawnSizeData Instance68
	$::ProcessorData
		$::DataContainer
		Pre Instance36
		NextProcessor Instance32
		EvaluatorInput EfOne
	Size 1.25
SpawnSpeedData Instance69
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance29
		EvaluatorInput EfOne
	Speed 2.0
SpawnSpeedData Instance70
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance27
		EvaluatorInput EfOne
	Speed 2.0
SpawnSpeedData Instance71
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance28
		EvaluatorInput EfOne
	Speed 2.0
TurbulanceData Instance72
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance78
		EvaluatorInput EfNormTime
	Intensity 0.15000000596046448
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance73
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance80
		EvaluatorInput EfNormTime
	Intensity 0.15000000596046448
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance74
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance79
		EvaluatorInput EfNormTime
	Intensity 0.15000000596046448
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
UpdateAgeData Instance75
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance57
		EvaluatorInput EfOne
	Lifetime 2.0
	RandomLifetimeScale 0.0
	MaxFactor 1.0
UpdateAgeData Instance76
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance58
		EvaluatorInput EfOne
	Lifetime 2.0
	RandomLifetimeScale 0.0
	MaxFactor 1.0
UpdateAgeData Instance77
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance59
		EvaluatorInput EfOne
	Lifetime 2.0
	RandomLifetimeScale 0.0
	MaxFactor 1.0
UpdateAlphaLevelScaleData Instance78
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance24
		EvaluatorInput EfNormTime
	Exponent 5.0
UpdateAlphaLevelScaleData Instance79
	$::ProcessorData
		$::DataContainer
		Pre Instance23
		NextProcessor Instance25
		EvaluatorInput EfNormTime
	Exponent 4.0
UpdateAlphaLevelScaleData Instance80
	$::ProcessorData
		$::DataContainer
		Pre Instance15
		NextProcessor Instance26
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateClipScaleData Instance81
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance84
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 30975
		member(5) 32639
		member(6) 31487
		member(7) 31231
		member(8) 30975
		member(9) 32639
		member(10) 31487
		member(11) 31231
		member(12) 30975
		member(13) 32639
		member(14) 31487
		member(15) 31231
		member(16) 30975
		member(17) 32639
		member(18) 31487
		member(19) 31231
		member(20) 30975
		member(21) 32639
		member(22) 31487
		member(23) 31231
		member(24) 30847
		member(25) 32639
		member(26) 31231
		member(27) 31231
		member(28) 30335
		member(29) 31487
		member(30) 30975
		member(31) 30847
		member(32) 30207
		member(33) 30463
		member(34) 30975
		member(35) 30591
		member(36) 30079
		member(37) 30463
		member(38) 30975
		member(39) 30335
		member(40) 30079
		member(41) 30207
		member(42) 30719
		member(43) 30207
		member(44) 29951
		member(45) 29951
		member(46) 30591
		member(47) 30079
		member(48) 29951
		member(49) 29823
		member(50) 30463
		member(51) 29823
		member(52) 29823
		member(53) 29567
		member(54) 30335
		member(55) 29695
		member(56) 29823
		member(57) 29311
		member(58) 30207
		member(59) 29695
		member(60) 29695
		member(61) 29055
		member(62) 30079
		member(63) 29567
		member(64) 29695
		member(65) 28799
		member(66) 29951
		member(67) 29567
		member(68) 29695
		member(69) 28671
		member(70) 29823
		member(71) 29567
		member(72) 29567
		member(73) 28543
		member(74) 29823
		member(75) 29439
		member(76) 29567
		member(77) 28159
		member(78) 29695
		member(79) 29439
		member(80) 29567
		member(81) 28159
		member(82) 29695
		member(83) 29439
		member(84) 29567
		member(85) 28031
		member(86) 29567
		member(87) 29311
		member(88) 29567
		member(89) 27903
		member(90) 29439
		member(91) 29311
		member(92) 29439
		member(93) 27775
		member(94) 29439
		member(95) 29311
		member(96) 29439
		member(97) 27775
		member(98) 29311
		member(99) 29311
		member(100) 29439
		member(101) 27519
		member(102) 28799
		member(103) 29183
		member(104) 29311
		member(105) 27263
		member(106) 28799
		member(107) 29183
		member(108) 29311
		member(109) 27263
		member(110) 28799
		member(111) 29055
		member(112) 29311
		member(113) 27007
		member(114) 28671
		member(115) 28927
		member(116) 29183
		member(117) 26879
		member(118) 28543
		member(119) 28799
		member(120) 29183
		member(121) 26623
		member(122) 28415
		member(123) 28415
		member(124) 29055
		member(125) 26367
		member(126) 27391
		member(127) 28287
		member(128) 28927
		member(129) 25471
		member(130) 26751
		member(131) 28159
UpdateClipScaleData Instance82
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance86
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 32511
		member(5) 31743
		member(6) 32511
		member(7) 32255
		member(8) 32511
		member(9) 31487
		member(10) 32511
		member(11) 32255
		member(12) 31743
		member(13) 30719
		member(14) 31999
		member(15) 31231
		member(16) 30463
		member(17) 28927
		member(18) 30719
		member(19) 30463
		member(20) 29695
		member(21) 27647
		member(22) 30207
		member(23) 29695
		member(24) 29183
		member(25) 26879
		member(26) 29695
		member(27) 29439
		member(28) 28927
		member(29) 25599
		member(30) 29439
		member(31) 28927
		member(32) 28415
		member(33) 24575
		member(34) 29183
		member(35) 28671
		member(36) 28415
		member(37) 23807
		member(38) 28927
		member(39) 28415
		member(40) 27903
		member(41) 23807
		member(42) 28927
		member(43) 28159
		member(44) 27647
		member(45) 23551
		member(46) 28671
		member(47) 27903
		member(48) 27391
		member(49) 23551
		member(50) 28671
		member(51) 27903
		member(52) 27391
		member(53) 23295
		member(54) 28415
		member(55) 27647
		member(56) 27135
		member(57) 23295
		member(58) 28415
		member(59) 27647
		member(60) 26623
		member(61) 23295
		member(62) 28415
		member(63) 27391
		member(64) 26367
		member(65) 23295
		member(66) 28159
		member(67) 27391
		member(68) 26111
		member(69) 23295
		member(70) 28159
		member(71) 27135
		member(72) 25855
		member(73) 23039
		member(74) 28159
		member(75) 27135
		member(76) 25599
		member(77) 23039
		member(78) 28159
		member(79) 27135
		member(80) 25343
		member(81) 23039
		member(82) 27903
		member(83) 26879
		member(84) 25087
		member(85) 23039
		member(86) 27903
		member(87) 26879
		member(88) 25087
