ScalableEmitterDocument 33365ef3-8dce-40e3-b9df-88eda84f7de2
PolynomialData Instance13
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -0.3076922297477722
		w 0.9911537766456604
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance14
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 0.20000000298023224
	Coefficients::Vec4
		x -0.7738454341888428
		y 0.4146394729614258
		z -0.7047436237335205
		w 1.0
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance15
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z -1.4887219667434692
		w 1.0895488262176514
	MinClamp 0.0
	MaxClamp 1.0
SplineData Instance16
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.04671815410256386
			z 0.2415587455034256
			w 0.5857336521148682
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.15917231142520905
			y 0.3183445930480957
			z 0.5620771646499634
			w 0.8756466507911682
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.0
			y 1.0
			z 0.0
			w 1.0
		GValues0::Vec4
			x 0.15917228162288666
			y 0.3249819278717041
			z 0.35585135221481323
			w 0.2391967624425888
		GValues1::Vec4
			x 0.07792295515537262
			y 0.20145073533058167
			z 0.19872607290744781
			w 0.12435334175825119
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance17
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.04671815410256386
			z 0.2415587455034256
			w 0.5857336521148682
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.15917231142520905
			y 0.3183445930480957
			z 0.5620771646499634
			w 0.8756466507911682
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.0
			y 1.0
			z 0.0
			w 1.0
		GValues0::Vec4
			x 0.15917228162288666
			y 0.3249819278717041
			z 0.35585135221481323
			w 0.2391967624425888
		GValues1::Vec4
			x 0.07792295515537262
			y 0.20145073533058167
			z 0.19872607290744781
			w 0.12435334175825119
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SuperSphereEvaluatorData Instance18
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 1.0
	Scale::Vec3
		x 1.0
		y 1.0
		z 1.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 1.0
	StartZenithAngle 90.0
	EndZenithAngle 0.0
	InnerRadiusBound 1.0
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.5
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance19
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 1.0
	Scale::Vec3
		x 1.0
		y 1.0
		z 1.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 1.0
	StartZenithAngle 90.0
	EndZenithAngle 0.0
	InnerRadiusBound 1.0
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.5
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
UpdateColorData Instance20
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance61
		EvaluatorInput EfNormTime
	Color::Vec3
		x 10.0
		y 10.0
		z 10.0
UpdateColorData Instance21
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance60
		EvaluatorInput EfNormTime
	Color::Vec3
		x 10.0
		y 10.0
		z 10.0
GravityData Instance22
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance2
		EvaluatorInput EfNormTime
	Gravity 8.0
	PerParticleRandomness 0.10000000149011612
GravityData Instance23
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance3
		EvaluatorInput EfNormTime
	Gravity 8.0
	PerParticleRandomness 0.10000000149011612
RandomEvaluatorData Instance24
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.3499999940395355
RandomEvaluatorData Instance25
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance26
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.3499999940395355
RandomEvaluatorData Instance27
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance28
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance29
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
SpawnDirectionData Instance30
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance32
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.5
	InheritSpeedAmount 0.25
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter True
SpawnDirectionData Instance31
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance33
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.5
	InheritSpeedAmount 0.25
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter True
SpawnPositionData Instance32
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance42
		EvaluatorInput EfOne
SpawnPositionData Instance33
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance43
		EvaluatorInput EfOne
SpawnRateData Instance34
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance30
		EvaluatorInput EfEmitterNormTime
	SpawnRate 150.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance35
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance31
		EvaluatorInput EfEmitterNormTime
	SpawnRate 150.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance36
	$::ProcessorData
		$::DataContainer
		Pre Instance25
		NextProcessor Instance39
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance37
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance38
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationSpeedData Instance38
	$::ProcessorData
		$::DataContainer
		Pre Instance29
		NextProcessor Instance58
		EvaluatorInput EfOne
	RotationSpeed 0.019999999552965164
SpawnRotationSpeedData Instance39
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance59
		EvaluatorInput EfOne
	RotationSpeed 0.019999999552965164
SpawnSizeData Instance40
	$::ProcessorData
		$::DataContainer
		Pre Instance24
		NextProcessor Instance23
		EvaluatorInput EfOne
	Size 20.0
SpawnSizeData Instance41
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance22
		EvaluatorInput EfOne
	Size 20.0
SpawnSpeedData Instance42
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance57
		EvaluatorInput EfEmitterNormTime
	Speed 15.0
SpawnSpeedData Instance43
	$::ProcessorData
		$::DataContainer
		Pre Instance7
		NextProcessor Instance56
		EvaluatorInput EfEmitterNormTime
	Speed 15.0
TurbulanceData Instance44
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance49
		EvaluatorInput EfNormTime
	Intensity 1.0
	NoiseType TurbulenceNoiseType_PerlinSimplex
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.05400000140070915
	Octaves 3
	OctavePersistence 1.0
	PerParticleRandomness 0.16099999845027924
TurbulanceData Instance45
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance48
		EvaluatorInput EfNormTime
	Intensity 0.25
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
UpdateAgeData Instance46
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance35
		EvaluatorInput EfOne
	Lifetime 5.0
	RandomLifetimeScale 0.05000000074505806
	MaxFactor 1.0
UpdateAgeData Instance47
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance34
		EvaluatorInput EfOne
	Lifetime 5.0
	RandomLifetimeScale 0.05000000074505806
	MaxFactor 1.0
UpdateAlphaLevelScaleData Instance48
	$::ProcessorData
		$::DataContainer
		Pre Instance4
		NextProcessor Instance54
		EvaluatorInput EfNormTime
	Exponent 4.5
UpdateAlphaLevelScaleData Instance49
	$::ProcessorData
		$::DataContainer
		Pre Instance5
		NextProcessor Instance55
		EvaluatorInput EfNormTime
	Exponent 4.5
UpdateClipScaleData Instance50
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance53
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 30975
		member(1) 32639
		member(2) 31487
		member(3) 31231
		member(4) 30975
		member(5) 32639
		member(6) 31487
		member(7) 31231
		member(8) 30975
		member(9) 32639
		member(10) 31487
		member(11) 31231
		member(12) 30975
		member(13) 32639
		member(14) 31487
		member(15) 31231
		member(16) 30975
		member(17) 32639
		member(18) 31487
		member(19) 31231
		member(20) 30975
		member(21) 32639
		member(22) 31487
		member(23) 31231
		member(24) 30975
		member(25) 32639
		member(26) 31487
		member(27) 31231
		member(28) 30975
		member(29) 32639
		member(30) 31487
		member(31) 31231
		member(32) 30975
		member(33) 32639
		member(34) 31487
		member(35) 31231
		member(36) 30975
		member(37) 32639
		member(38) 31487
		member(39) 31231
		member(40) 30975
		member(41) 32639
		member(42) 31487
		member(43) 31231
		member(44) 30975
		member(45) 32639
		member(46) 31487
		member(47) 31231
		member(48) 30975
		member(49) 32639
		member(50) 31487
		member(51) 31231
		member(52) 30975
		member(53) 32639
		member(54) 31487
		member(55) 31231
		member(56) 30975
		member(57) 32639
		member(58) 31487
		member(59) 31231
		member(60) 30975
		member(61) 32639
		member(62) 31487
		member(63) 31231
		member(64) 30847
		member(65) 32639
		member(66) 31231
		member(67) 31231
		member(68) 30207
		member(69) 30463
		member(70) 30975
		member(71) 30591
		member(72) 29951
		member(73) 29951
		member(74) 30591
		member(75) 30079
		member(76) 29823
		member(77) 29055
		member(78) 30207
		member(79) 29567
		member(80) 29567
		member(81) 28159
		member(82) 29695
		member(83) 29439
		member(84) 29311
		member(85) 27263
		member(86) 28799
		member(87) 29055
		member(88) 29183
		member(89) 26623
		member(90) 28415
		member(91) 28415
		member(92) 28927
		member(93) 25599
		member(94) 27007
		member(95) 28159
		member(96) 28671
		member(97) 25343
		member(98) 26367
		member(99) 28031
		member(100) 28543
		member(101) 25343
		member(102) 25855
		member(103) 27903
		member(104) 28543
		member(105) 25215
		member(106) 25727
		member(107) 27775
		member(108) 28287
		member(109) 25215
		member(110) 25727
		member(111) 27775
		member(112) 28159
		member(113) 25087
		member(114) 25727
		member(115) 27775
		member(116) 27903
		member(117) 24959
		member(118) 25471
		member(119) 27647
		member(120) 27519
		member(121) 24831
		member(122) 25215
		member(123) 27519
		member(124) 27135
		member(125) 24447
		member(126) 24447
		member(127) 27263
		member(128) 21503
		member(129) 20863
		member(130) 19071
		member(131) 23167
UpdateClipScaleData Instance51
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance52
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 30975
		member(1) 32639
		member(2) 31487
		member(3) 31231
		member(4) 30975
		member(5) 32639
		member(6) 31487
		member(7) 31231
		member(8) 30975
		member(9) 32639
		member(10) 31487
		member(11) 31231
		member(12) 30975
		member(13) 32639
		member(14) 31487
		member(15) 31231
		member(16) 30975
		member(17) 32639
		member(18) 31487
		member(19) 31231
		member(20) 30975
		member(21) 32639
		member(22) 31487
		member(23) 31231
		member(24) 30975
		member(25) 32639
		member(26) 31487
		member(27) 31231
		member(28) 30975
		member(29) 32639
		member(30) 31487
		member(31) 31231
		member(32) 30975
		member(33) 32639
		member(34) 31487
		member(35) 31231
		member(36) 30975
		member(37) 32639
		member(38) 31487
		member(39) 31231
		member(40) 30975
		member(41) 32639
		member(42) 31487
		member(43) 31231
		member(44) 30975
		member(45) 32639
		member(46) 31487
		member(47) 31231
		member(48) 30975
		member(49) 32639
		member(50) 31487
		member(51) 31231
		member(52) 30975
		member(53) 32639
		member(54) 31487
		member(55) 31231
		member(56) 30975
		member(57) 32639
		member(58) 31487
		member(59) 31231
		member(60) 30975
		member(61) 32639
		member(62) 31487
		member(63) 31231
		member(64) 30847
		member(65) 32639
		member(66) 31231
		member(67) 31231
		member(68) 30207
		member(69) 30463
		member(70) 30975
		member(71) 30591
		member(72) 29951
		member(73) 29951
		member(74) 30591
		member(75) 30079
		member(76) 29823
		member(77) 29055
		member(78) 30207
		member(79) 29567
		member(80) 29567
		member(81) 28159
		member(82) 29695
		member(83) 29439
		member(84) 29311
		member(85) 27263
		member(86) 28799
		member(87) 29055
		member(88) 29183
		member(89) 26623
		member(90) 28415
		member(91) 28415
		member(92) 28927
		member(93) 25599
		member(94) 27007
		member(95) 28159
		member(96) 28671
		member(97) 25343
		member(98) 26367
		member(99) 28031
		member(100) 28543
		member(101) 25343
		member(102) 25855
		member(103) 27903
		member(104) 28543
		member(105) 25215
		member(106) 25727
		member(107) 27775
		member(108) 28287
		member(109) 25215
		member(110) 25727
		member(111) 27775
		member(112) 28159
		member(113) 25087
		member(114) 25727
		member(115) 27775
		member(116) 27903
		member(117) 24959
		member(118) 25471
		member(119) 27647
		member(120) 27519
		member(121) 24831
		member(122) 25215
		member(123) 27519
		member(124) 27135
		member(125) 24447
		member(126) 24447
		member(127) 27263
		member(128) 21503
		member(129) 20863
		member(130) 19071
		member(131) 23167
UpdateLinearVelocityData Instance52
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance53
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance54
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance51
		EvaluatorInput EfNormTime
UpdateOrientationData Instance55
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance50
		EvaluatorInput EfNormTime
UpdateRotationData Instance56
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance36
		EvaluatorInput EfNormTime
UpdateRotationData Instance57
	$::ProcessorData
		$::DataContainer
		Pre Instance15
		NextProcessor Instance37
		EvaluatorInput EfNormTime
UpdateSizeData Instance58
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance41
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance59
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance40
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance60
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance62
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/ef0ff905-9244-4f87-9985-1a69702e500b
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance61
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance63
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/ef0ff905-9244-4f87-9985-1a69702e500b
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTransparencyData Instance62
	$::ProcessorData
		$::DataContainer
		Pre Instance6
		NextProcessor Instance45
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance63
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance44
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
WorldWindData Instance64
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance20
		EvaluatorInput EfNormTime
	WindMultiplier 2.0
	PerParticleRandomness 0.5
WorldWindData Instance65
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance21
		EvaluatorInput EfNormTime
	WindMultiplier 2.0
	PerParticleRandomness 0.5
