Partition E7C2024B-CF04-4E47-919F-1E18469BA009
	EmitterLocalSpaceForce False
	LocalForce::Vec3
		x 2.0
		y 0.0
		z 0.0
PolynomialColorInterpData Instance8
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Color0::Vec3
		x 2.0
		y 0.37599998712539673
		z 0.10199999809265137
	Color1::Vec3
		x 0.3109999895095825
		y 0.03700000047683716
		z 0.004000000189989805
	Coefficients::Vec4
		x 0.0
		y -1.1510519981384277
		z 0.14459228515625
		w 0.9949997663497925
PolynomialColorInterpData Instance9
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Color0::Vec3
		x 2.0
		y 0.37599998712539673
		z 0.10199999809265137
	Color1::Vec3
		x 0.3109999895095825
		y 0.03700000047683716
		z 0.004000000189989805
	Coefficients::Vec4
		x 0.0
		y -1.1510519981384277
		z 0.14459228515625
		w 0.9949997663497925
PolynomialColorInterpData Instance10
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Color0::Vec3
		x 2.0
		y 0.37599998712539673
		z 0.10199999809265137
	Color1::Vec3
		x 0.3109999895095825
		y 0.03700000047683716
		z 0.004000000189989805
	Coefficients::Vec4
		x 0.0
		y -1.1510519981384277
		z 0.14459228515625
		w 0.9949997663497925
PolynomialColorInterpData Instance11
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Color0::Vec3
		x 2.0
		y 0.37599998712539673
		z 0.10199999809265137
	Color1::Vec3
		x 0.3109999895095825
		y 0.03700000047683716
		z 0.004000000189989805
	Coefficients::Vec4
		x 0.0
		y -1.1510519981384277
		z 0.14459228515625
		w 0.9949997663497925
PolynomialData Instance12
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y -9.600748062133789
		z 9.185949325561523
		w -1.2131637334823608
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance13
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.8970544934272766
		w 0.09448517858982086
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance14
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 3.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.7688444256782532
		w 0.20346717536449432
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance15
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 4.001651287078857
		z -3.9416255950927734
		w 0.9800000190734863
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance16
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y -9.600748062133789
		z 9.185949325561523
		w -1.2131637334823608
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance17
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 7.0
	Coefficients::Vec4
		x 0.0
		y 0.5935280323028564
		z 0.3756248354911804
		w 0.06186322495341301
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance18
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 7.0
	Coefficients::Vec4
		x 0.0
		y 0.5935280323028564
		z 0.3756248354911804
		w 0.06186322495341301
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance19
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 2.006497859954834
		z -4.480287075042725
		w 2.471074342727661
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance20
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.9095476269721985
		w 0.07590457797050476
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance21
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 4.001651287078857
		z -3.9416255950927734
		w 0.9800000190734863
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance22
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 7.0
	Coefficients::Vec4
		x 0.0
		y 0.5935280323028564
		z 0.3756248354911804
		w 0.06186322495341301
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance23
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 4.001651287078857
		z -3.9416255950927734
		w 0.9800000190734863
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance24
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 3.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.7688444256782532
		w 0.20346717536449432
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance25
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y -9.600748062133789
		z 9.185949325561523
		w -1.2131637334823608
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance26
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.5511810183525085
		w 0.6212203502655029
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance27
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.8970544934272766
		w 0.09448517858982086
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance28
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.9801966547966003
		z 0.02930629253387451
		w 0.015122132375836372
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance29
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 3.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.7688444256782532
		w 0.20346717536449432
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance30
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.9801966547966003
		z 0.02930629253387451
		w 0.015122132375836372
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance31
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.8970544934272766
		w 0.09448517858982086
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance32
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.9801966547966003
		z 0.02930629253387451
		w 0.015122132375836372
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance33
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 2.006497859954834
		z -4.480287075042725
		w 2.471074342727661
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance34
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y -9.600748062133789
		z 9.185949325561523
		w -1.2131637334823608
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance35
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.9095476269721985
		w 0.07590457797050476
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance36
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 7.0
	Coefficients::Vec4
		x 0.0
		y 0.5935280323028564
		z 0.3756248354911804
		w 0.06186322495341301
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance37
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 2.006497859954834
		z -4.480287075042725
		w 2.471074342727661
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance38
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.9095476269721985
		w 0.07590457797050476
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance39
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.5511810183525085
		w 0.6212203502655029
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance40
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.9095476269721985
		w 0.07590457797050476
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance41
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 2.006497859954834
		z -4.480287075042725
		w 2.471074342727661
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance42
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.5511810183525085
		w 0.6212203502655029
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance43
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 3.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.7688444256782532
		w 0.20346717536449432
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance44
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.8970544934272766
		w 0.09448517858982086
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance45
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.0
		z 0.5511810183525085
		w 0.6212203502655029
	MinClamp 0.10000000149011612
	MaxClamp 1.0
PolynomialData Instance46
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 4.001651287078857
		z -3.9416255950927734
		w 0.9800000190734863
	MinClamp 0.0
	MaxClamp 1.0
PolynomialData Instance47
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	ScaleValue 1.0
	Coefficients::Vec4
		x 0.0
		y 0.9801966547966003
		z 0.02930629253387451
		w 0.015122132375836372
	MinClamp 0.0
	MaxClamp 1.0
SpawnColorRandomData Instance48
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance166
		EvaluatorInput EfOne
	Color0::Vec3
		x 100.0
		y 100.0
		z 100.0
	Color1::Vec3
		x 50.0
		y 37.63800048828125
		z 23.23699951171875
SpawnColorRandomData Instance49
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance167
		EvaluatorInput EfOne
	Color0::Vec3
		x 100.0
		y 100.0
		z 100.0
	Color1::Vec3
		x 50.0
		y 37.63800048828125
		z 23.23699951171875
SpawnColorRandomData Instance50
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance165
		EvaluatorInput EfOne
	Color0::Vec3
		x 100.0
		y 100.0
		z 100.0
	Color1::Vec3
		x 50.0
		y 37.63800048828125
		z 23.23699951171875
SpawnColorRandomData Instance51
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance164
		EvaluatorInput EfOne
	Color0::Vec3
		x 100.0
		y 100.0
		z 100.0
	Color1::Vec3
		x 50.0
		y 37.63800048828125
		z 23.23699951171875
SplineData Instance52
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.11955434083938599
			z 0.5428134799003601
			w 0.6857296824455261
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.6565858125686646
			y 2.517906904220581
			z 0.3680860698223114
			w 1.5419816970825195
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.0
			y 3.0
			z 0.0
			w 0.6615598797798157
		GValues0::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance53
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.1714126020669937
			z 0.4444584846496582
			w 0.6574705243110657
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.6617588400840759
			y 0.9875646829605103
			z 0.7885992527008057
			w 0.8756465911865234
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.5
			y 1.0
			z 0.0
			w 0.865129292011261
		GValues0::Vec4
			x 0.18551982939243317
			y 0.03340066969394684
			z -0.06712823361158371
			w 0.09983231872320175
		GValues1::Vec4
			x 0.020968254655599594
			y -0.08604719489812851
			z 0.062083665281534195
			w -0.010517299175262451
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance54
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.11955434083938599
			z 0.5428134799003601
			w 0.6857296824455261
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.6565858125686646
			y 2.517906904220581
			z 0.3680860698223114
			w 1.5419816970825195
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.0
			y 3.0
			z 0.0
			w 0.6615598797798157
		GValues0::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance55
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.1714126020669937
			z 0.4444584846496582
			w 0.6574705243110657
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.6617588400840759
			y 0.9875646829605103
			z 0.7885992527008057
			w 0.8756465911865234
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.5
			y 1.0
			z 0.0
			w 0.865129292011261
		GValues0::Vec4
			x 0.18551982939243317
			y 0.03340066969394684
			z -0.06712823361158371
			w 0.09983231872320175
		GValues1::Vec4
			x 0.020968254655599594
			y -0.08604719489812851
			z 0.062083665281534195
			w -0.010517299175262451
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance56
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.1714126020669937
			z 0.4444584846496582
			w 0.6574705243110657
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.6617588400840759
			y 0.9875646829605103
			z 0.7885992527008057
			w 0.8756465911865234
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.5
			y 1.0
			z 0.0
			w 0.865129292011261
		GValues0::Vec4
			x 0.18551982939243317
			y 0.03340066969394684
			z -0.06712823361158371
			w 0.09983231872320175
		GValues1::Vec4
			x 0.020968254655599594
			y -0.08604719489812851
			z 0.062083665281534195
			w -0.010517299175262451
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance57
